CODIGO,CATEGORIA
'003137','EEA'
'003141','EEA'
'003142','EEA'
'003143','EEA'
'003158','EEA'
'003159','EEA'
'003160','EEA'
'003161','EEA'
'003167','EEA'
'003168','EEA'
'003169','EEA'
'003170','EEA'
'003171','EEA'
'003172','EEA'
'003174','EEA'
'003185','EEA'
'003200','EEA'
'003201','EEA'
'003215','EEA'
'003216','EEA'
'003224','EEA'
'003272','EEA'
'003276','EEA'
'003282','EEA'
'003285','EEA'
'003286','EEA'
'003289','EEA'
'003303','EEA'
'003316','EEA'
'003318','EEA'
'003319','EEA'
'003320','EEA'
'003321','EEA'
'003322','EEA'
'003333','EEA'
'003334','EEA'
'003335','EEA'
'003336','EEA'
'003337','EEA'
'003338','EEA'
'003339','EEA'
'003340','EEA'
'003342','EEA'
'003343','EEA'
'003344','EEA'
'003345','EEA'
'003346','EEA'
'003347','EEA'
'003348','EEA'
'003350','EEA'
'003351','EEA'
'003353','EEA'
'003354','EEA'
'003355','EEA'
'003357','EEA'
'003358','EEA'
'003361','EEA'
'003362','EEA'
'003363','EEA'
'003364','EEA'
'003365','EEA'
'003366','EEA'
'003367','EEA'
'003369','EEA'
'003370','EEA'
'003371','EEA'
'003372','EEA'
'003373','EEA'
'003374','EEA'
'003375','EEA'
'003376','EEA'
'003377','EEA'
'003378','EEA'
'003379','EEA'
'003380','EEA'
'003381','EEA'
'003382','EEA'
'003383','EEA'
'003387','EEA'
'003388','EEA'
'003389','EEA'
'003391','EEA'
'003397','EEA'
'003399','EEA'
'003403','EEA'
'003404','EEA'
'003405','EEA'
'003406','EEA'
'003407','EEA'
'003418','EEA'
'003468','EEA'
'003469','EEA'
'003470','EEA'
'003471','EEA'
'003472','EEA'
'003522','EEA'
'003523','EEA'
'003524','EEA'
'003525','EEA'
'003540','EEA'
'003626','EEA'
'003627','EEA'
'003628','EEA'
'003629','EEA'
'003641','EEA'
'003652','EEA'
'003657','EEA'
'003658','EEA'
'003661','EEA'
'003662','EEA'
'003663','EEA'
'003664','EEA'
'003665','EEA'
'003667','EEA'
'003668','EEA'
'003669','EEA'
'003671','EEA'
'003672','EEA'
'003674','EEA'
'003675','EEA'
'003677','EEA'
'003678','EEA'
'003679','EEA'
'003681','EEA'
'003682','EEA'
'003683','EEA'
'003684','EEA'
'003685','EEA'
'003687','EEA'
'003688','EEA'
'003689','EEA'
'003690','EEA'
'003691','EEA'
'003692','EEA'
'003693','EEA'
'003694','EEA'
'003695','EEA'
'003697','EEA'
'003714','EEA'
'003715','EEA'
'003769','EEA'
'003772','EEA'
'003792','EEA'
'003794','EEA'
'003797','EEA'
'003799','EEA'
'003802','EEA'
'003803','EEA'
'003903','EEA'
'003904','EEA'
'003905','EEA'
'003906','EEA'
'003907','EEA'
'003908','EEA'
'003909','EEA'
'003910','EEA'
'003911','EEA'
'003912','EEA'
'003913','EEA'
'003914','EEA'
'003915','EEA'
'003916','EEA'
'003917','EEA'
'003918','EEA'
'003919','EEA'
'003920','EEA'
'003921','EEA'
'003922','EEA'
'003923','EEA'
'003924','EEA'
'003925','EEA'
'003926','EEA'
'003927','EEA'
'003928','EEA'
'003929','EEA'
'003930','EEA'
'003931','EEA'
'003932','EEA'
'003933','EEA'
'003934','EEA'
'003935','EEA'
'003938','EEA'
'003939','EEA'
'003942','EEA'
'003943','EEA'
'003950','EEA'
'003954','EEA'
'003955','EEA'
'003956','EEA'
'003957','EEA'
'003959','EEA'
'003960','EEA'
'003961','EEA'
'003967','EEA'
'003968','EEA'
'003969','EEA'
'003970','EEA'
'003971','EEA'
'003972','EEA'
'003973','EEA'
'003975','EEA'
'003976','EEA'
'003977','EEA'
'003978','EEA'
'003979','EEA'
'003980','EEA'
'003981','EEA'
'004026','EEA'
'004027','EEA'
'004044','EEA'
'004051','EEA'
'004061','EEA'
'004066','EEA'
'004067','EEA'
'004073','EEA'
'004074','EEA'
'004084','EEA'
'004087','EEA'
'004088','EEA'
'004089','EEA'
'004090','EEA'
'004098','EEA'
'004110','EEA'
'004111','EEA'
'004112','EEA'
'004113','EEA'
'004114','EEA'
'004115','EEA'
'004130','EEA'
'004131','EEA'
'004132','EEA'
'004135','EEA'
'004136','EEA'
'004137','EEA'
'004138','EEA'
'004146','EEA'
'004147','EEA'
'004150','EEA'
'004151','EEA'
'004152','EEA'
'004153','EEA'
'004154','EEA'
'004155','EEA'
'004156','EEA'
'004157','EEA'
'004158','EEA'
'004159','EEA'
'004179','EEA'
'004180','EEA'
'004183','EEA'
'004206','EEA'
'004207','EEA'
'004208','EEA'
'004209','EEA'
'004210','EEA'
'004211','EEA'
'004212','EEA'
'004213','EEA'
'004214','EEA'
'004215','EEA'
'004216','EEA'
'004217','EEA'
'004218','EEA'
'004219','EEA'
'004221','EEA'
'004234','EEA'
'004237','EEA'
'004238','EEA'
'004239','EEA'
'004240','EEA'
'004241','EEA'
'004242','EEA'
'004243','EEA'
'004244','EEA'
'004245','EEA'
'004246','EEA'
'004247','EEA'
'004248','EEA'
'004249','EEA'
'004250','EEA'
'004251','EEA'
'004252','EEA'
'004302','EEA'
'004303','EEA'
'004304','EEA'
'004305','EEA'
'004310','EEA'
'004311','EEA'
'004312','EEA'
'004313','EEA'
'004314','EEA'
'004315','EEA'
'004316','EEA'
'004317','EEA'
'004318','EEA'
'004319','EEA'
'004320','EEA'
'004321','EEA'
'004325','EEA'
'004326','EEA'
'004327','EEA'
'004328','EEA'
'004332','EEA'
'004333','EEA'
'004334','EEA'
'004335','EEA'
'004336','EEA'
'004337','EEA'
'004338','EEA'
'004339','EEA'
'004340','EEA'
'004341','EEA'
'004342','EEA'
'004357','EEA'
'004358','EEA'
'004359','EEA'
'004369','EEA'
'004370','EEA'
'004371','EEA'
'004372','EEA'
'004373','EEA'
'004375','EEA'
'004463','EEA'
'004482','EEA'
'004483','EEA'
'004484','EEA'
'004485','EEA'
'004486','EEA'
'004487','EEA'
'004488','EEA'
'004489','EEA'
'004490','EEA'
'004491','EEA'
'004492','EEA'
'004493','EEA'
'004494','EEA'
'004495','EEA'
'004496','EEA'
'004497','EEA'
'004498','EEA'
'004499','EEA'
'004500','EEA'
'004501','EEA'
'004502','EEA'
'004503','EEA'
'004504','EEA'
'004505','EEA'
'004506','EEA'
'004507','EEA'
'004508','EEA'
'004509','EEA'
'004510','EEA'
'004511','EEA'
'004512','EEA'
'004513','EEA'
'004564','EEA'
'004565','EEA'
'004584','EEA'
'004595','EEA'
'004598','EEA'
'004614','EEA'
'004645','EEA'
'004646','EEA'
'004647','EEA'
'004716','EEA'
'004723','EEA'
'004730','EEA'
'004746','EEA'
'004747','EEA'
'004748','EEA'
'004749','EEA'
'004750','EEA'
'004763','EEA'
'004769','EEA'
'004814','EEA'
'004908','EEA'
'004909','EEA'
'004912','EEA'
'004918','EEA'
'004919','EEA'
'004920','EEA'
'004922','EEA'
'004923','EEA'
'004924','EEA'
'004925','EEA'
'004927','EEA'
'004928','EEA'
'004929','EEA'
'004931','EEA'
'004932','EEA'
'004933','EEA'
'004934','EEA'
'004936','EEA'
'004941','EEA'
'004943','EEA'
'004944','EEA'
'004946','EEA'
'004949','EEA'
'004952','EEA'
'004960','EEA'
'004961','EEA'
'004963','EEA'
'004965','EEA'
'004966','EEA'
'004967','EEA'
'004968','EEA'
'004969','EEA'
'004973','EEA'
'004974','EEA'
'004975','EEA'
'004976','EEA'
'004981','EEA'
'004982','EEA'
'004988','EEA'
'004989','EEA'
'004990','EEA'
'004991','EEA'
'004992','EEA'
'004993','EEA'
'004998','EEA'
'004999','EEA'
'005004','EEA'
'005008','EEA'
'005009','EEA'
'005012','EEA'
'005022','EEA'
'005023','EEA'
'005062','EEA'
'005063','EEA'
'005064','EEA'
'005065','EEA'
'005068','EEA'
'005069','EEA'
'005070','EEA'
'005072','EEA'
'005076','EEA'
'005079','EEA'
'005086','EEA'
'005090','EEA'
'005109','EEA'
'005110','EEA'
'005113','EEA'
'005114','EEA'
'005115','EEA'
'005116','EEA'
'005120','EEA'
'005121','EEA'
'005122','EEA'
'005132','EEA'
'005133','EEA'
'005134','EEA'
'005135','EEA'
'005145','EEA'
'005146','EEA'
'005147','EEA'
'005148','EEA'
'005151','EEA'
'005157','EEA'
'005158','EEA'
'005161','EEA'
'005162','EEA'
'005163','EEA'
'005173','EEA'
'005193','EEA'
'005194','EEA'
'005195','EEA'
'005196','EEA'
'005197','EEA'
'005198','EEA'
'005199','EEA'
'005218','EEA'
'005491','EEA'
'005493','EEA'
'005494','EEA'
'005495','EEA'
'005496','EEA'
'005497','EEA'
'005560','EEA'
'005561','EEA'
'005574','EEA'
'005579','EEA'
'005585','EEA'
'005589','EEA'
'005590','EEA'
'005591','EEA'
'005592','EEA'
'005593','EEA'
'005594','EEA'
'005595','EEA'
'005598','EEA'
'005599','EEA'
'005600','EEA'
'005601','EEA'
'005602','EEA'
'005603','EEA'
'005604','EEA'
'005608','EEA'
'005611','EEA'
'005621','EEA'
'005622','EEA'
'005623','EEA'
'005624','EEA'
'005625','EEA'
'005626','EEA'
'005627','EEA'
'005628','EEA'
'005629','EEA'
'005630','EEA'
'005719','EEA'
'005720','EEA'
'005721','EEA'
'005724','EEA'
'005725','EEA'
'005726','EEA'
'005731','EEA'
'005732','EEA'
'005737','EEA'
'005738','EEA'
'005739','EEA'
'005740','EEA'
'005792','EEA'
'005812','EEA'
'005813','EEA'
'005817','EEA'
'005818','EEA'
'005819','EEA'
'005837','EEA'
'005839','EEA'
'005840','EEA'
'005841','EEA'
'005842','EEA'
'005843','EEA'
'005866','EEA'
'005867','EEA'
'005868','EEA'
'005869','EEA'
'005870','EEA'
'005871','EEA'
'005875','EEA'
'005886','EEA'
'005924','EEA'
'005942','EEA'
'006017','EEA'
'006019','EEA'
'006020','EEA'
'006023','EEA'
'006056','EEA'
'006058','EEA'
'006063','EEA'
'006064','EEA'
'006065','EEA'
'006070','EEA'
'006082','EEA'
'193001','EEA'
'311005','EEA'
'311008','EEA'
'311017','EEA'
'311018','EEA'
'311031','EEA'
'311046','EEA'
'313005','EEA'
'315004','EEA'
'321001','EEA'
'321006','EEA'
'321010','EEA'
'321017','EEA'
'321018','EEA'
'321022','EEA'
'321025','EEA'
'321034','EEA'
'321039','EEA'
'322005','EEA'
'327012','EEA'
'328006','EEA'
'328007','EEA'
'331002','EEA'
'331004','EEA'
'331005','EEA'
'334002','EEA'
'338001','EEA'
'341002','EEA'
'341003','EEA'
'341009','EEA'
'341014','EEA'
'341017','EEA'
'341020','EEA'
'341022','EEA'
'341028','EEA'
'343007','EEA'
'344009','EEA'
'346002','EEA'
'347002','EEA'
'347004','EEA'
'351001','EEA'
'351004','EEA'
'351008','EEA'
'351010','EEA'
'351018','EEA'
'351023','EEA'
'351025','EEA'
'352007','EEA'
'354002','EEA'
'354005','EEA'
'358003','EEA'
'371004','EEA'
'371009','EEA'
'371014','EEA'
'371015','EEA'
'371016','EEA'
'371017','EEA'
'371019','EEA'
'371024','EEA'
'371026','EEA'
'371028','EEA'
'371029','EEA'
'371030','EEA'
'371031','EEA'
'372023','EEA'
'373009','EEA'
'401002','EEA'
'421001','EEA'
'421003','EEA'
'421005','EEA'
'426001','EEA'
'431001','EEA'
'431004','EEA'
'431005','EEA'
'431007','EEA'
'431008','EEA'
'431010','EEA'
'431011','EEA'
'437001','EEA'
'437003','EEA'
'437004','EEA'
'437005','EEA'
'437006','EEA'
'437009','EEA'
'437011','EEA'
'437014','EEA'
'438001','EEA'
'438002','EEA'
'501002','EEA'
'501003','EEA'
'501004','EEA'
'501006','EEA'
'501007','EEA'
'501008','EEA'
'501009','EEA'
'501010','EEA'
'501011','EEA'
'501012','EEA'
'501015','EEA'
'501017','EEA'
'501020','EEA'
'503002','EEA'
'503003','EEA'
'503004','EEA'
'503005','EEA'
'503007','EEA'
'503008','EEA'
'504001','EEA'
'004421','INA'
'004423','INA'
'004424','INA'
'004425','INA'
'004426','INA'
'004427','INA'
'004428','INA'
'004521','ISA'
'004522','ISA'
'004523','ISA'
'004524','ISA'
'004525','ISA'
'004526','ISA'
'004527','ISA'
'004528','ISA'
'004529','ISA'
'004530','ISA'
'004531','ISA'
'004532','ISA'
'004533','ISA'
'004534','ISA'
'004536','ISA'
'004537','ISA'
'004538','ISA'
'004539','ISA'
'004540','ISA'
'004541','ISA'
'004542','ISA'
'004543','ISA'
'004544','ISA'
'004545','ISA'
'004546','ISA'
'004547','ISA'
'004548','ISA'
'004549','ISA'
'004454','MAA'
'004455','MAA'
'004456','MAA'
'004457','MAA'
'004458','MAA'
'004459','MAA'
'004460','MAA'
'004461','MAA'
'004462','MAA'
'004466','MAA'
'004467','MAA'
'000023','MBA'
'000173','MBA'
'000174','MBA'
'000210','MBA'
'000218','MBA'
'000223','MBA'
'000228','MBA'
'000317','MBA'
'000320','MBA'
'003774','MBA'
'003775','MBA'
'003813','MBA'
'003815','MBA'
'005224','MBA'
'021001','MBA'
'021003','MBA'
'021004','MBA'
'021009','MBA'
'021016','MBA'
'021018','MBA'
'021021','MBA'
'021025','MBA'
'021026','MBA'
'021029','MBA'
'021068','MBA'
'000330','MBA'
'000336','MBA'
'000338','MBA'
'000339','MBA'
'000347','MBA'
'000351','MBA'
'000352','MBA'
'000353','MBA'
'000357','MBA'
'000358','MBA'
'000362','MBA'
'000377','MBA'
'000379','MBA'
'000392','MBA'
'000393','MBA'
'000394','MBA'
'000395','MBA'
'000396','MBA'
'000397','MBA'
'000398','MBA'
'000399','MBA'
'000400','MBA'
'000401','MBA'
'000402','MBA'
'000403','MBA'
'000404','MBA'
'000405','MBA'
'000406','MBA'
'000407','MBA'
'000408','MBA'
'000409','MBA'
'000410','MBA'
'000411','MBA'
'000412','MBA'
'000413','MBA'
'000414','MBA'
'000415','MBA'
'000416','MBA'
'000417','MBA'
'000418','MBA'
'000419','MBA'
'000420','MBA'
'000421','MBA'
'000423','MBA'
'000424','MBA'
'000426','MBA'
'000429','MBA'
'000438','MBA'
'000453','MBA'
'000457','MBA'
'000462','MBA'
'000470','MBA'
'000473','MBA'
'000479','MBA'
'000484','MBA'
'000485','MBA'
'000486','MBA'
'000488','MBA'
'000489','MBA'
'000490','MBA'
'000493','MBA'
'000510','MBA'
'000511','MBA'
'000512','MBA'
'000518','MBA'
'000529','MBA'
'000537','MBA'
'000547','MBA'
'000549','MBA'
'000563','MBA'
'000571','MBA'
'000582','MBA'
'000588','MBA'
'000591','MBA'
'000593','MBA'
'000598','MBA'
'000618','MBA'
'000626','MBA'
'000632','MBA'
'000639','MBA'
'000640','MBA'
'000643','MBA'
'000644','MBA'
'000655','MBA'
'000697','MBA'
'000708','MBA'
'000750','MBA'
'000782','MBA'
'000802','MBA'
'000828','MBA'
'000886','MBA'
'000922','MBA'
'000923','MBA'
'001030','MBA'
'001066','MBA'
'001067','MBA'
'001068','MBA'
'001069','MBA'
'001070','MBA'
'001073','MBA'
'001075','MBA'
'001230','MBA'
'001261','MBA'
'001377','MBA'
'001386','MBA'
'001399','MBA'
'001407','MBA'
'001440','MBA'
'001441','MBA'
'001446','MBA'
'001447','MBA'
'001449','MBA'
'001451','MBA'
'001453','MBA'
'001454','MBA'
'001465','MBA'
'001472','MBA'
'001473','MBA'
'001497','MBA'
'001662','MBA'
'001669','MBA'
'001730','MBA'
'001752','MBA'
'001777','MBA'
'001798','MBA'
'001799','MBA'
'001832','MBA'
'001833','MBA'
'001834','MBA'
'001848','MBA'
'001849','MBA'
'001850','MBA'
'001851','MBA'
'001852','MBA'
'001871','MBA'
'001918','MBA'
'002001','MBA'
'002003','MBA'
'002047','MBA'
'002051','MBA'
'002053','MBA'
'002071','MBA'
'002072','MBA'
'002074','MBA'
'002076','MBA'
'002077','MBA'
'002078','MBA'
'002079','MBA'
'002080','MBA'
'002082','MBA'
'002083','MBA'
'002084','MBA'
'002085','MBA'
'002169','MBA'
'002271','MBA'
'002273','MBA'
'002276','MBA'
'002277','MBA'
'002278','MBA'
'002279','MBA'
'002280','MBA'
'002350','MBA'
'002351','MBA'
'002366','MBA'
'002379','MBA'
'002504','MBA'
'002540','MBA'
'002546','MBA'
'002547','MBA'
'002548','MBA'
'002549','MBA'
'002550','MBA'
'002551','MBA'
'002552','MBA'
'002553','MBA'
'002554','MBA'
'002555','MBA'
'002657','MBA'
'002658','MBA'
'002659','MBA'
'002660','MBA'
'002661','MBA'
'002662','MBA'
'002663','MBA'
'002664','MBA'
'002666','MBA'
'002667','MBA'
'002668','MBA'
'002670','MBA'
'002822','MBA'
'002823','MBA'
'002826','MBA'
'002827','MBA'
'002828','MBA'
'002829','MBA'
'002835','MBA'
'002836','MBA'
'002860','MBA'
'002864','MBA'
'002865','MBA'
'002903','MBA'
'002918','MBA'
'002933','MBA'
'002941','MBA'
'002942','MBA'
'002943','MBA'
'002944','MBA'
'002969','MBA'
'002970','MBA'
'002972','MBA'
'002991','MBA'
'002992','MBA'
'003097','MBA'
'003098','MBA'
'003099','MBA'
'003203','MBA'
'003207','MBA'
'003254','MBA'
'003255','MBA'
'003256','MBA'
'003288','MBA'
'003290','MBA'
'003291','MBA'
'003292','MBA'
'003305','MBA'
'003306','MBA'
'003307','MBA'
'003308','MBA'
'003309','MBA'
'003310','MBA'
'003312','MBA'
'003313','MBA'
'003314','MBA'
'003315','MBA'
'003394','MBA'
'003395','MBA'
'003396','MBA'
'003398','MBA'
'003644','MBA'
'003645','MBA'
'003646','MBA'
'003647','MBA'
'003648','MBA'
'003649','MBA'
'003650','MBA'
'003651','MBA'
'003716','MBA'
'003717','MBA'
'003720','MBA'
'003721','MBA'
'003722','MBA'
'003723','MBA'
'003766','MBA'
'003767','MBA'
'003773','MBA'
'003776','MBA'
'003778','MBA'
'003779','MBA'
'003780','MBA'
'003781','MBA'
'003782','MBA'
'003783','MBA'
'003784','MBA'
'003785','MBA'
'003786','MBA'
'003787','MBA'
'003845','MBA'
'003846','MBA'
'003847','MBA'
'003848','MBA'
'003849','MBA'
'003850','MBA'
'003851','MBA'
'003852','MBA'
'003853','MBA'
'003854','MBA'
'003855','MBA'
'003856','MBA'
'003857','MBA'
'003858','MBA'
'003859','MBA'
'003860','MBA'
'003861','MBA'
'003862','MBA'
'003863','MBA'
'003864','MBA'
'003865','MBA'
'003866','MBA'
'003867','MBA'
'003868','MBA'
'003869','MBA'
'003870','MBA'
'003871','MBA'
'003872','MBA'
'003873','MBA'
'003874','MBA'
'003875','MBA'
'003876','MBA'
'003877','MBA'
'003878','MBA'
'003879','MBA'
'003880','MBA'
'003881','MBA'
'003882','MBA'
'003883','MBA'
'003884','MBA'
'003885','MBA'
'003886','MBA'
'003887','MBA'
'003888','MBA'
'003889','MBA'
'003890','MBA'
'003891','MBA'
'003892','MBA'
'003893','MBA'
'003894','MBA'
'003895','MBA'
'003896','MBA'
'003897','MBA'
'003898','MBA'
'003899','MBA'
'003940','MBA'
'003941','MBA'
'003944','MBA'
'003945','MBA'
'003951','MBA'
'003982','MBA'
'003983','MBA'
'003984','MBA'
'004000','MBA'
'004001','MBA'
'004002','MBA'
'004003','MBA'
'004028','MBA'
'004029','MBA'
'004080','MBA'
'004081','MBA'
'004082','MBA'
'004109','MBA'
'004224','MBA'
'004225','MBA'
'004271','MBA'
'004278','MBA'
'004281','MBA'
'004282','MBA'
'004283','MBA'
'004345','MBA'
'004346','MBA'
'004347','MBA'
'004350','MBA'
'004351','MBA'
'004352','MBA'
'004353','MBA'
'004354','MBA'
'004355','MBA'
'004356','MBA'
'004464','MBA'
'004465','MBA'
'004470','MBA'
'004575','MBA'
'004576','MBA'
'004577','MBA'
'004640','MBA'
'004641','MBA'
'004662','MBA'
'004663','MBA'
'004686','MBA'
'004687','MBA'
'004688','MBA'
'004689','MBA'
'004690','MBA'
'004765','MBA'
'004766','MBA'
'004768','MBA'
'004810','MBA'
'004811','MBA'
'004901','MBA'
'004902','MBA'
'004903','MBA'
'004904','MBA'
'004979','MBA'
'004986','MBA'
'004987','MBA'
'005067','MBA'
'005182','MBA'
'005184','MBA'
'005185','MBA'
'005186','MBA'
'005187','MBA'
'005188','MBA'
'005189','MBA'
'005190','MBA'
'005191','MBA'
'005192','MBA'
'005201','MBA'
'005202','MBA'
'005203','MBA'
'005204','MBA'
'005205','MBA'
'005206','MBA'
'005207','MBA'
'005208','MBA'
'005219','MBA'
'005221','MBA'
'005225','MBA'
'005244','MBA'
'005245','MBA'
'005246','MBA'
'005247','MBA'
'005248','MBA'
'005249','MBA'
'005250','MBA'
'005251','MBA'
'005252','MBA'
'005253','MBA'
'005254','MBA'
'005255','MBA'
'005562','MBA'
'005563','MBA'
'005564','MBA'
'005565','MBA'
'005566','MBA'
'005567','MBA'
'005568','MBA'
'005569','MBA'
'005586','MBA'
'005615','MBA'
'005620','MBA'
'005727','MBA'
'005728','MBA'
'005748','MBA'
'005787','MBA'
'005788','MBA'
'005790','MBA'
'005872','MBA'
'005882','MBA'
'005883','MBA'
'005933','MBA'
'005934','MBA'
'005935','MBA'
'006062','MBA'
'011001','MBA'
'011002','MBA'
'011003','MBA'
'011004','MBA'
'011005','MBA'
'021002','MBA'
'021006','MBA'
'021007','MBA'
'021010','MBA'
'021012','MBA'
'021017','MBA'
'021019','MBA'
'021020','MBA'
'021022','MBA'
'021023','MBA'
'021024','MBA'
'021028','MBA'
'021031','MBA'
'021032','MBA'
'021033','MBA'
'021034','MBA'
'021035','MBA'
'021037','MBA'
'021038','MBA'
'021039','MBA'
'021040','MBA'
