OFICINA,CLIENTE,RUTA_FLETE,ESTADO,NOMBRE_ESTADO,MUNICIPIO,NOMBRE_MUNIC
'C','49990',12,19,'SUCRE',14,
'C','49991',14,19,'SUCRE',12,'MONTES'
'C','49992',14,19,'SUCRE',12,'MONTES'
'C','49993',14,19,'SUCRE',12,'MONTES'
'C','49994',14,19,'SUCRE',12,'MONTES'
'C','49995',14,19,'SUCRE',12,'MONTES'
'C','49996',12,19,'SUCRE',15,'SUCRE'
'C','49997',12,19,'SUCRE',15,'SUCRE'
'C','49998',12,19,'SUCRE',15,'SUCRE'
'C','49999',12,19,'SUCRE',15,'SUCRE'
'C','50000',12,19,'SUCRE',14,
'C','50001',12,19,'SUCRE',15,'SUCRE'
'C','50002',12,19,'SUCRE',15,'SUCRE'
'C','50003',12,19,'SUCRE',15,'SUCRE'
'C','50004',12,19,'SUCRE',15,'SUCRE'
'C','50005',12,19,'SUCRE',15,'SUCRE'
'C','50006',12,19,'SUCRE',15,'SUCRE'
'C','50007',12,19,'SUCRE',15,'SUCRE'
'C','50008',12,19,'SUCRE',15,'SUCRE'
'C','50009',14,19,'SUCRE',6,'BERMUDEZ'
'C','50011',12,19,'SUCRE',15,'SUCRE'
'C','50012',12,19,'SUCRE',15,'SUCRE'
'C','50013',12,19,'SUCRE',15,'SUCRE'
'C','50014',12,19,'SUCRE',14,
'C','50015',12,19,'SUCRE',15,'SUCRE'
'C','50016',12,19,'SUCRE',15,'SUCRE'
'C','50017',12,19,'SUCRE',14,
'C','50018',12,19,'SUCRE',15,'SUCRE'
'C','50019',14,19,'SUCRE',6,'BERMUDEZ'
'C','50020',12,19,'SUCRE',15,'SUCRE'
'C','50021',12,19,'SUCRE',15,'SUCRE'
'C','50022',12,19,'SUCRE',15,'SUCRE'
'C','50023',12,19,'SUCRE',15,'SUCRE'
'C','50024',14,19,'SUCRE',11,'MEJIAS'
'C','50025',12,19,'SUCRE',15,'SUCRE'
'C','50026',14,19,'SUCRE',6,'BERMUDEZ'
'C','50027',14,19,'SUCRE',6,'BERMUDEZ'
'C','50028',14,19,'SUCRE',12,'MONTES'
'C','50029',12,19,'SUCRE',15,'SUCRE'
'C','50030',14,19,'SUCRE',3,'SUCRE SANTAFE M'
'C','50031',12,19,'SUCRE',15,'SUCRE'
'C','50032',12,19,'SUCRE',14,
'C','50033',12,19,'SUCRE',15,'SUCRE'
'C','50034',12,19,'SUCRE',14,
'C','50035',12,19,'SUCRE',15,'SUCRE'
'C','50036',14,19,'SUCRE',3,'SUCRE SANTAFE M'
'C','50037',12,19,'SUCRE',15,'SUCRE'
'C','50038',12,19,'SUCRE',15,'SUCRE'
'C','50039',12,19,'SUCRE',14,
'C','50040',12,19,'SUCRE',15,'SUCRE'
'C','50041',12,19,'SUCRE',14,
'C','50042',12,19,'SUCRE',15,'SUCRE'
'C','50043',12,19,'SUCRE',15,'SUCRE'
'C','50044',12,19,'SUCRE',14,
'C','50045',12,19,'SUCRE',14,
'C','50046',12,19,'SUCRE',15,'SUCRE'
'C','50047',14,19,'SUCRE',6,'BERMUDEZ'
'C','50048',12,19,'SUCRE',15,'SUCRE'
'C','50049',12,19,'SUCRE',15,'SUCRE'
'C','50050',12,19,'SUCRE',15,'SUCRE'
'C','50051',12,19,'SUCRE',15,'SUCRE'
'C','50052',18,19,'SUCRE',8,'CRUZ SALMERON A'
'C','50053',12,19,'SUCRE',15,'SUCRE'
'C','50054',12,19,'SUCRE',15,'SUCRE'
'C','50055',12,19,'SUCRE',15,'SUCRE'
'C','50056',12,19,'SUCRE',15,'SUCRE'
'C','50057',14,19,'SUCRE',6,'BERMUDEZ'
'C','50058',12,19,'SUCRE',15,'SUCRE'
'C','50059',12,19,'SUCRE',15,'SUCRE'
'C','50060',12,19,'SUCRE',15,'SUCRE'
'C','50061',12,19,'SUCRE',14,
'C','50062',12,19,'SUCRE',14,
'C','50063',12,19,'SUCRE',15,'SUCRE'
'C','50064',12,19,'SUCRE',15,'SUCRE'
'C','50065',12,19,'SUCRE',15,'SUCRE'
'C','50066',12,19,'SUCRE',15,'SUCRE'
'C','50067',12,19,'SUCRE',15,'SUCRE'
'C','50068',12,19,'SUCRE',15,'SUCRE'
'C','50069',12,19,'SUCRE',15,'SUCRE'
'C','50070',12,19,'SUCRE',15,'SUCRE'
'C','50071',12,19,'SUCRE',14,
'C','50072',12,19,'SUCRE',15,'SUCRE'
'C','50073',12,19,'SUCRE',15,'SUCRE'
'C','50074',12,19,'SUCRE',14,
'C','50075',12,19,'SUCRE',15,'SUCRE'
'C','50076',12,19,'SUCRE',15,'SUCRE'
'C','50077',12,19,'SUCRE',15,'SUCRE'
'C','50078',12,19,'SUCRE',15,'SUCRE'
'C','50079',14,19,'SUCRE',12,'MONTES'
'C','50080',12,19,'SUCRE',15,'SUCRE'
'C','50081',14,19,'SUCRE',6,'BERMUDEZ'
'C','50082',12,19,'SUCRE',15,'SUCRE'
'C','50083',12,19,'SUCRE',15,'SUCRE'
'C','50084',12,19,'SUCRE',15,'SUCRE'
'C','50085',12,19,'SUCRE',15,'SUCRE'
'C','50086',14,19,'SUCRE',11,'MEJIAS'
'C','50087',12,19,'SUCRE',15,'SUCRE'
'C','50088',18,19,'SUCRE',8,'CRUZ SALMERON A'
'C','50089',18,19,'SUCRE',8,'CRUZ SALMERON A'
'C','50090',18,19,'SUCRE',8,'CRUZ SALMERON A'
'C','50091',12,19,'SUCRE',15,'SUCRE'
'C','50092',12,19,'SUCRE',15,'SUCRE'
'C','50093',12,19,'SUCRE',15,'SUCRE'
'C','50094',14,19,'SUCRE',6,'BERMUDEZ'
'C','50095',12,19,'SUCRE',15,'SUCRE'
'C','50096',12,19,'SUCRE',15,'SUCRE'
'C','50097',12,19,'SUCRE',15,'SUCRE'
'C','50098',12,19,'SUCRE',15,'SUCRE'
'C','50099',12,19,'SUCRE',15,'SUCRE'
'C','50100',12,19,'SUCRE',15,'SUCRE'
'C','50101',12,19,'SUCRE',15,'SUCRE'
'C','50102',14,19,'SUCRE',6,'BERMUDEZ'
'C','50103',12,19,'SUCRE',14,
'C','50104',12,19,'SUCRE',14,
'C','50105',12,19,'SUCRE',14,
'C','50106',12,19,'SUCRE',15,'SUCRE'
'C','50107',12,19,'SUCRE',15,'SUCRE'
'C','50108',12,19,'SUCRE',15,'SUCRE'
'C','50109',12,19,'SUCRE',15,'SUCRE'
'C','50110',12,19,'SUCRE',15,'SUCRE'
'C','50111',12,19,'SUCRE',14,
'C','50112',12,19,'SUCRE',15,'SUCRE'
'C','50113',12,19,'SUCRE',14,
'C','50114',12,19,'SUCRE',14,
'C','50115',12,19,'SUCRE',15,'SUCRE'
'C','50116',12,19,'SUCRE',15,'SUCRE'
'C','50117',12,19,'SUCRE',14,
'C','50118',12,19,'SUCRE',15,'SUCRE'
'C','50119',12,19,'SUCRE',15,'SUCRE'
'C','50120',12,19,'SUCRE',15,'SUCRE'
'C','50121',12,19,'SUCRE',15,'SUCRE'
'C','50122',12,19,'SUCRE',15,'SUCRE'
'C','50123',12,19,'SUCRE',15,'SUCRE'
'C','50124',12,19,'SUCRE',15,'SUCRE'
'C','50126',12,19,'SUCRE',15,'SUCRE'
'C','50127',12,19,'SUCRE',15,'SUCRE'
'C','50128',12,19,'SUCRE',15,'SUCRE'
'C','50129',12,19,'SUCRE',15,'SUCRE'
'C','50130',12,19,'SUCRE',15,'SUCRE'
'C','50131',12,19,'SUCRE',15,'SUCRE'
'C','50132',12,19,'SUCRE',15,'SUCRE'
'C','50133',12,19,'SUCRE',15,'SUCRE'
'C','50134',12,19,'SUCRE',14,
'C','50135',12,19,'SUCRE',15,'SUCRE'
'C','50136',12,19,'SUCRE',15,'SUCRE'
'C','50137',12,19,'SUCRE',14,
'C','50138',12,19,'SUCRE',15,'SUCRE'
'C','50139',12,19,'SUCRE',15,'SUCRE'
'C','50140',12,19,'SUCRE',15,'SUCRE'
'C','50141',14,19,'SUCRE',15,'CRUZ SALMERON A'
'C','50142',12,19,'SUCRE',15,'SUCRE'
'C','50143',12,19,'SUCRE',15,'SUCRE'
'C','50144',12,19,'SUCRE',15,'SUCRE'
'C','50145',14,19,'SUCRE',8,'CRUZ SALMERON A'
'C','50146',12,19,'SUCRE',3,'SUCRE SANTAFE M'
'C','50147',12,19,'SUCRE',14,
'C','50149',12,19,'SUCRE',15,'SUCRE'
'C','50150',12,19,'SUCRE',14,
'C','50151',12,19,'SUCRE',15,'SUCRE'
'C','50153',12,19,'SUCRE',14,
'C','50154',12,19,'SUCRE',15,'SUCRE'
'C','50155',14,19,'SUCRE',6,'BERMUDEZ'
