sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0063082,87.55,144.68,144.68,144.68,39.49,39.49,39.49
C,0063090,30.99,40.57,40.57,40.57,23.61,23.61,23.61
C,0063095,34.45,40.57,40.57,40.57,15.09,15.09,15.09
C,0064000,30.99,40.57,40.57,40.57,23.61,23.61,23.61
C,0064005,34.45,40.57,40.57,40.57,15.09,15.09,15.09
C,0064010,31.03,40.57,40.57,40.57,23.51,23.51,23.51
C,0064015,31.01,40.57,40.57,40.57,23.56,23.56,23.56
C,0079050,110.09,110.09,110.09,110.09,0.00,0.00,0.00
C,0080505,225.00,260.00,260.00,260.00,13.46,13.46,13.46
C,0080510,367.50,435.00,435.00,435.00,15.52,15.52,15.52
C,0080515,180.00,222.60,222.60,222.60,19.14,19.14,19.14
C,0080520,310.52,369.60,369.60,369.60,15.98,15.98,15.98
C,0100505,91.88,128.25,128.25,128.25,28.36,28.36,28.36
C,0100510,81.40,128.25,128.25,128.25,36.53,36.53,36.53
C,0110500,423.36,473.76,473.76,473.76,10.64,10.64,10.64
C,0110510,241.92,496.32,496.32,496.32,51.26,51.26,51.26
C,0110515,423.36,473.76,473.76,473.76,10.64,10.64,10.64
C,0113005,77.99,205.13,205.13,205.13,61.98,61.98,61.98
C,0113010,78.04,205.13,205.13,205.13,61.96,61.96,61.96
C,0113015,82.08,205.13,205.13,205.13,59.99,59.99,59.99
C,0113020,78.00,205.13,205.13,205.13,61.98,61.98,61.98
C,0113030,0.00,273.00,273.00,273.00,100.00,100.00,100.00
C,0113035,0.00,273.00,273.00,273.00,100.00,100.00,100.00
C,0113040,0.00,273.00,273.00,273.00,100.00,100.00,100.00
C,0113045,0.00,273.00,273.00,273.00,100.00,100.00,100.00
C,0113050,0.00,398.00,398.00,398.00,100.00,100.00,100.00
C,0113055,0.00,398.00,398.00,398.00,100.00,100.00,100.00
C,0120500,202.68,270.00,270.00,270.00,24.93,24.93,24.93
C,0120505,337.80,450.00,450.00,450.00,24.93,24.93,24.93
C,0120510,202.68,270.00,270.00,270.00,24.93,24.93,24.93
C,0120525,334.20,432.00,432.00,432.00,22.64,22.64,22.64
C,0120544,0.00,35.31,35.31,35.31,100.00,100.00,100.00
C,0120550,156.12,292.00,292.00,292.00,46.53,46.53,46.53
C,0120555,195.15,292.00,292.00,292.00,33.17,33.17,33.17
C,0120560,156.12,292.00,292.00,292.00,46.53,46.53,46.53
C,0120565,0.00,292.00,292.00,292.00,100.00,100.00,100.00
C,0120570,43.38,61.50,61.50,61.50,29.46,29.46,29.46
C,0120572,0.00,61.50,61.50,61.50,100.00,100.00,100.00
C,0120575,100.08,142.50,142.50,142.50,29.77,29.77,29.77
C,0120577,0.00,157.00,157.00,157.00,100.00,100.00,100.00
C,0120580,114.01,157.00,157.00,157.00,27.38,27.38,27.38
C,0120585,0.00,184.00,184.00,184.00,100.00,100.00,100.00
C,0120590,129.48,184.00,184.00,184.00,29.63,29.63,29.63
C,0130505,0.00,196.17,196.17,169.11,100.00,100.00,100.00
C,0130510,191.28,389.76,389.76,336.00,50.92,50.92,43.07
C,0130515,221.22,528.96,528.96,456.00,58.18,58.18,51.49
C,0130520,0.00,835.20,835.20,720.00,100.00,100.00,100.00
C,0130525,266.39,786.50,786.50,678.00,66.13,66.13,60.71
C,0130530,789.48,1263.25,1263.25,1089.00,37.50,37.50,27.50
C,0130535,0.00,1767.85,1767.85,1524.00,100.00,100.00,100.00
C,0130540,0.00,264.48,264.48,228.00,100.00,100.00,100.00
C,0130545,217.00,528.96,528.96,456.00,58.98,58.98,52.41
C,0130550,234.82,570.72,570.72,492.00,58.86,58.86,52.27
C,0131010,394.74,466.72,466.72,456.00,15.42,15.42,13.43
C,0131015,415.52,667.08,667.08,651.74,37.71,37.71,36.24
C,0131020,282.56,464.45,464.45,453.74,39.16,39.16,37.73
C,0131025,149.28,667.08,667.08,651.74,77.62,77.62,77.10
C,0131030,296.16,464.45,464.45,453.74,36.23,36.23,34.73
