sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
D,3885370,0.00,158.40,158.40,137.16,100.00,100.00,100.00
D,3885602,660.74,817.75,817.75,817.75,19.20,19.20,19.20
D,3885604,0.00,817.75,817.75,817.75,100.00,100.00,100.00
D,3885616,660.74,817.75,817.75,817.75,19.20,19.20,19.20
D,3885909,539.74,765.07,765.07,765.07,29.45,29.45,29.45
D,3886208,183.86,320.21,320.21,320.21,42.58,42.58,42.58
D,3886504,439.50,593.15,593.15,593.15,25.90,25.90,25.90
D,3886506,439.28,593.15,593.15,593.15,25.94,25.94,25.94
D,3886602,36.93,42.91,42.91,42.91,13.94,13.94,13.94
D,3886604,217.81,253.23,253.23,253.23,13.99,13.99,13.99
D,3886802,589.32,817.75,817.75,817.75,27.93,27.93,27.93
D,3887100,217.79,338.59,338.59,338.59,35.68,35.68,35.68
D,3887101,0.00,647.95,647.95,647.95,100.00,100.00,100.00
D,3887102,0.00,456.55,456.55,456.55,100.00,100.00,100.00
D,3887104,878.52,1035.00,1035.00,1035.00,15.12,15.12,15.12
D,3887105,201.16,290.25,290.25,290.25,30.69,30.69,30.69
D,3887107,193.90,338.59,338.59,338.59,42.73,42.73,42.73
D,3887109,0.00,474.00,474.00,474.00,100.00,100.00,100.00
D,3887110,276.88,326.15,326.15,326.15,15.11,15.11,15.11
D,3887112,1026.16,1229.61,1229.61,1229.61,16.55,16.55,16.55
D,3887114,550.00,634.85,634.85,634.85,13.37,13.37,13.37
D,3887116,477.34,634.85,634.85,634.85,24.81,24.81,24.81
D,3887118,0.00,1229.96,1229.61,1229.61,100.00,100.00,100.00
D,3887120,0.00,1035.00,1035.00,1035.00,100.00,100.00,100.00
D,3887122,0.00,760.92,760.92,760.92,100.00,100.00,100.00
D,3887202,0.00,338.59,338.59,338.59,100.00,100.00,100.00
D,3887204,254.72,356.80,356.80,356.80,28.61,28.61,28.61
D,3887614,228.96,280.00,280.00,249.20,18.23,18.23,8.12
D,3887618,231.42,287.08,287.08,251.88,19.39,19.39,8.12
D,3887620,179.18,293.88,293.88,267.12,39.03,39.03,32.92
D,3887622,194.11,294.00,294.00,267.12,33.98,33.98,27.33
D,3887623,840.87,1469.60,1469.60,1336.00,42.78,42.78,37.06
D,3887624,841.50,1469.60,1469.60,1336.00,42.74,42.74,37.01
D,3887625,0.00,1148.80,1148.80,934.00,100.00,100.00,100.00
D,3887626,840.92,1469.60,1469.60,1336.00,42.78,42.78,37.06
D,3887627,0.00,910.00,910.00,910.00,100.00,100.00,100.00
D,3887628,0.00,910.00,910.00,910.00,100.00,100.00,100.00
D,3887630,61.45,122.50,122.50,111.30,49.84,49.84,44.79
D,3887632,193.99,294.00,294.00,267.12,34.02,34.02,27.38
D,3887636,0.00,916.11,916.11,916.11,100.00,100.00,100.00
D,3887650,187.49,233.04,233.04,206.40,19.55,19.55,9.16
D,3887652,171.53,315.96,315.96,287.22,45.71,45.71,40.28
D,3887654,87.93,131.60,131.60,119.70,33.18,33.18,26.54
D,3887656,183.17,233.04,233.04,206.40,21.40,21.40,11.25
D,3887660,171.61,315.96,315.96,287.22,45.69,45.69,40.25
D,3887661,188.13,233.04,233.04,206.40,19.27,19.27,8.85
D,3887663,187.49,233.04,233.04,206.40,19.55,19.55,9.16
D,3887665,171.64,234.48,234.48,190.62,26.80,26.80,9.96
D,3887902,135.34,159.44,159.44,159.44,15.12,15.12,15.12
D,3888204,93.59,151.31,151.31,151.31,38.15,38.15,38.15
D,3891205,342.82,468.54,468.54,468.54,26.83,26.83,26.83
D,3891208,294.08,491.96,491.96,491.96,40.22,40.22,40.22
D,3891208,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3891209,0.00,437.29,437.29,437.29,100.00,100.00,100.00
D,3891213,219.25,390.42,390.42,390.42,43.84,43.84,43.84
D,3891213,218.93,390.42,390.42,390.42,43.92,43.92,43.92
D,3891216,306.59,468.60,468.60,468.60,34.57,34.57,34.57
D,3891216,306.28,468.60,468.60,468.60,34.64,34.64,34.64
D,3891220,226.27,312.30,312.30,312.30,27.55,27.55,27.55
D,3891220,226.24,312.30,312.30,312.30,27.56,27.56,27.56
D,3891224,240.00,245.90,245.90,245.90,2.40,2.40,2.40
D,3891402,157.80,239.32,239.32,239.32,34.06,34.06,34.06
D,3891406,157.77,239.32,239.32,239.32,34.08,34.08,34.08
D,3891605,342.84,468.54,468.54,468.54,26.83,26.83,26.83
D,3891608,294.08,491.96,491.96,491.96,40.22,40.22,40.22
D,3891608,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3891616,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3891616,306.55,468.60,468.60,468.60,34.58,34.58,34.58
D,3891620,226.25,312.30,312.30,312.30,27.55,27.55,27.55
D,3891620,223.48,312.30,312.30,312.30,28.44,28.44,28.44
D,3891808,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3891816,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3891816,295.48,468.60,468.60,468.60,36.94,36.94,36.94
D,3891820,196.16,312.30,312.30,312.30,37.19,37.19,37.19
D,3892008,294.08,491.96,491.96,491.96,40.22,40.22,40.22
D,3892013,0.00,390.42,390.42,390.42,100.00,100.00,100.00
D,3892016,306.56,468.60,468.60,468.60,34.58,34.58,34.58
D,3892020,0.00,312.30,312.30,312.30,100.00,100.00,100.00
D,3892205,342.81,468.54,468.54,468.54,26.83,26.83,26.83
D,3892208,410.90,491.96,491.96,491.96,16.48,16.48,16.48
D,3892208,294.05,491.96,491.96,491.96,40.23,40.23,40.23
D,3892213,218.94,390.42,390.42,390.42,43.92,43.92,43.92
D,3892213,218.91,390.42,390.42,390.42,43.93,43.93,43.93
D,3892216,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3892216,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3892220,226.26,312.30,312.30,312.30,27.55,27.55,27.55
D,3892405,342.81,468.54,468.54,468.54,26.83,26.83,26.83
D,3892408,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3892408,294.06,491.96,491.96,491.96,40.23,40.23,40.23
D,3892409,0.00,437.29,437.29,437.29,100.00,100.00,100.00
D,3892413,218.94,390.42,390.42,390.42,43.92,43.92,43.92
D,3892414,218.91,250.62,239.28,239.28,12.65,8.51,8.51
D,3892416,306.60,468.60,468.60,468.60,34.57,34.57,34.57
D,3892416,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3892417,306.54,352.80,335.20,335.20,13.11,8.55,8.55
D,3892420,226.25,312.30,312.30,312.30,27.55,27.55,27.55
D,3892420,226.25,312.30,312.30,312.30,27.55,27.55,27.55
D,3892608,294.08,491.96,491.96,491.96,40.22,40.22,40.22
D,3892608,294.06,491.96,491.96,491.96,40.23,40.23,40.23
D,3892612,306.55,468.60,468.60,468.60,34.58,34.58,34.58
D,3892612,306.54,468.60,468.60,468.60,34.58,34.58,34.58
D,3892613,0.00,390.42,390.42,390.42,100.00,100.00,100.00
D,3893207,333.75,437.29,437.29,437.29,23.68,23.68,23.68
D,3893207,284.23,437.29,437.29,437.29,35.00,35.00,35.00
D,3893213,0.00,390.42,390.42,390.42,100.00,100.00,100.00
D,3893214,371.18,421.60,421.60,421.60,11.96,11.96,11.96
D,3893214,295.91,421.60,421.60,421.60,29.81,29.81,29.81
D,3894008,297.55,437.29,437.29,437.29,31.96,31.96,31.96
D,3894014,348.53,421.60,421.60,421.60,17.33,17.33,17.33
D,3894014,348.53,421.60,421.60,421.60,17.33,17.33,17.33
D,3895405,342.81,468.54,468.54,468.54,26.83,26.83,26.83
D,3895408,294.06,491.96,491.96,491.96,40.23,40.23,40.23
D,3895413,0.00,390.42,390.42,390.42,100.00,100.00,100.00
D,3895416,306.58,468.60,468.60,468.60,34.58,34.58,34.58
D,3895416,298.65,468.60,468.60,468.60,36.27,36.27,36.27
D,3895420,0.00,312.30,312.30,312.30,100.00,100.00,100.00
D,3895605,0.00,468.54,468.54,468.54,100.00,100.00,100.00
D,3895608,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3895608,289.80,491.96,491.96,491.96,41.09,41.09,41.09
D,3895613,0.00,390.42,390.42,390.42,100.00,100.00,100.00
D,3895616,306.74,468.60,468.60,468.60,34.54,34.54,34.54
D,3895620,0.00,312.30,312.30,312.30,100.00,100.00,100.00
D,3895805,342.82,468.54,468.54,468.54,26.83,26.83,26.83
D,3895808,294.07,491.96,491.96,491.96,40.22,40.22,40.22
D,3895808,294.10,491.96,491.96,491.96,40.22,40.22,40.22
D,3895809,0.00,437.29,437.29,437.29,100.00,100.00,100.00
D,3895813,218.93,390.42,390.42,390.42,43.92,43.92,43.92
D,3895813,218.92,390.42,390.42,390.42,43.93,43.93,43.93
D,3895816,306.57,468.60,468.60,468.60,34.58,34.58,34.58
D,3895816,306.53,468.60,468.60,468.60,34.59,34.59,34.59
D,3895820,0.00,312.30,312.30,312.30,100.00,100.00,100.00
D,3895820,212.84,312.30,312.30,312.30,31.85,31.85,31.85
D,3896404,13.92,14.88,14.88,13.50,6.45,6.45,-3.11
D,3896404,13.50,14.88,14.88,13.50,9.27,9.27,0.00
D,3896410,105.04,148.56,148.56,135.00,29.29,29.29,22.19
D,3896410,105.02,148.56,148.56,135.00,29.31,29.31,22.21
D,3896414,165.31,280.56,280.56,255.12,41.08,41.08,35.20
D,3896417,240.57,495.10,495.10,450.10,51.41,51.41,46.55
D,3896420,274.08,416.44,416.44,378.60,34.18,34.18,27.61
D,3896422,165.31,280.56,280.56,255.12,41.08,41.08,35.20
D,3896428,240.58,495.10,495.10,450.10,51.41,51.41,46.55
D,3896432,105.03,148.56,148.56,135.00,29.30,29.30,22.20
D,3896432,106.14,148.56,148.56,135.00,28.55,28.55,21.38
D,3896436,165.32,280.56,280.56,255.12,41.07,41.07,35.20
D,3896436,165.31,280.56,280.56,255.12,41.08,41.08,35.20
D,3896440,240.62,495.10,495.10,450.10,51.40,51.40,46.54
D,3896442,0.00,416.44,416.44,378.60,100.00,100.00,100.00
D,3896444,240.57,495.10,495.10,450.10,51.41,51.41,46.55
D,3896448,0.00,280.56,280.56,255.12,100.00,100.00,100.00
D,3900405,211.32,497.28,497.28,497.28,57.50,57.50,57.50
D,3900410,441.54,752.16,752.16,752.16,41.30,41.30,41.30
D,3900415,282.00,531.40,531.40,531.40,46.93,46.93,46.93
D,3900415,235.38,531.40,531.40,531.40,55.71,55.71,55.71
D,3900418,0.00,570.08,570.08,570.08,100.00,100.00,100.00
D,3900420,376.24,832.92,832.92,832.92,54.83,54.83,54.83
D,3900425,490.54,740.40,740.40,740.40,33.75,33.75,33.75
D,3900822,217.78,260.37,249.65,239.92,16.36,12.77,9.23
D,3900824,169.99,403.53,403.53,403.53,57.87,57.87,57.87
D,3900826,0.00,413.16,413.16,413.16,100.00,100.00,100.00
D,3900828,0.00,414.00,414.00,414.00,100.00,100.00,100.00
D,3900832,0.00,683.76,683.76,683.76,100.00,100.00,100.00
D,3900834,0.00,909.00,909.00,909.00,100.00,100.00,100.00
D,3900840,439.52,820.50,820.50,820.50,46.43,46.43,46.43
D,3900844,0.00,169.38,169.38,169.38,100.00,100.00,100.00
D,3900846,0.00,422.89,422.89,422.89,100.00,100.00,100.00
D,3900848,625.66,1016.28,1016.28,1016.28,38.44,38.44,38.44
D,3900851,0.00,149.82,149.82,149.82,100.00,100.00,100.00
D,3900852,417.14,544.28,544.28,544.28,23.36,23.36,23.36
D,3900853,714.17,855.12,855.12,855.12,16.48,16.48,16.48
D,3900854,819.02,1185.60,1185.60,1185.60,30.92,30.92,30.92
D,3900855,0.00,199.66,199.66,199.66,100.00,100.00,100.00
D,3900856,330.74,389.67,389.67,389.67,15.12,15.12,15.12
D,3900857,279.76,531.40,531.40,531.40,47.35,47.35,47.35
D,3900857,279.74,531.40,531.40,531.40,47.36,47.36,47.36
D,3900858,546.08,648.08,648.08,648.08,15.74,15.74,15.74
D,3900859,100.31,174.36,174.36,174.36,42.47,42.47,42.47
D,3900859,100.29,174.36,174.36,174.36,42.48,42.48,42.48
D,3900860,654.08,987.20,987.20,987.20,33.74,33.74,33.74
D,3900860,128.00,987.20,987.20,987.20,87.03,87.03,87.03
D,3900861,408.80,465.98,465.98,465.98,12.27,12.27,12.27
D,3900862,116.35,174.61,174.61,174.61,33.37,33.37,33.37
D,3900863,593.85,850.20,850.20,850.20,30.15,30.15,30.15
D,3900864,1236.76,1480.80,1480.80,1480.80,16.48,16.48,16.48
D,3900865,519.79,591.66,591.66,591.66,12.15,12.15,12.15
D,3900865,519.80,591.66,591.66,591.66,12.15,12.15,12.15
D,3900866,653.15,1113.28,1113.28,1113.28,41.33,41.33,41.33
D,3900868,326.16,590.76,590.76,590.76,44.79,44.79,44.79
D,3900870,0.00,213.71,213.71,213.71,100.00,100.00,100.00
D,3901204,316.28,688.56,688.56,688.56,54.07,54.07,54.07
D,3901208,260.96,348.41,348.41,348.41,25.10,25.10,25.10
D,3901214,364.40,590.52,590.52,590.52,38.29,38.29,38.29
D,3901415,401.07,479.44,479.44,440.00,16.35,16.35,8.85
D,3901504,223.75,481.98,481.98,438.18,53.58,53.58,48.94
D,3901505,176.29,418.47,418.47,418.47,57.87,57.87,57.87
D,3901506,0.00,149.82,149.82,149.82,100.00,100.00,100.00
D,3901508,294.42,454.50,454.50,454.50,35.22,35.22,35.22
D,3901509,588.72,909.00,909.00,909.00,35.23,35.23,35.23
D,3901510,439.69,820.50,820.50,820.50,46.41,46.41,46.41
D,3901511,588.38,956.46,956.46,956.46,38.48,38.48,38.48
D,3901512,0.00,200.69,200.69,200.69,100.00,100.00,100.00
D,3901513,0.00,119.88,119.88,119.88,100.00,100.00,100.00
D,3901514,0.00,349.80,349.80,349.80,100.00,100.00,100.00
D,3901515,392.23,468.88,468.88,468.88,16.35,16.35,16.35
D,3901516,587.81,855.12,855.12,855.12,31.26,31.26,31.26
D,3901517,258.39,308.00,308.00,308.00,16.11,16.11,16.11
D,3901518,654.07,987.20,987.20,987.20,33.74,33.74,33.74
D,3901519,0.00,465.98,465.98,465.98,100.00,100.00,100.00
D,3901520,401.10,479.44,479.44,479.44,16.34,16.34,16.34
D,3901521,327.08,403.60,403.60,403.60,18.96,18.96,18.96
D,3901522,654.54,1113.28,1113.28,1113.28,41.21,41.21,41.21
D,3901523,0.00,421.56,421.56,421.56,100.00,100.00,100.00
D,3901525,363.44,431.20,431.20,431.20,15.71,15.71,15.71
D,3901526,514.50,586.45,586.45,586.45,12.27,12.27,12.27
D,3901528,95.47,112.38,112.38,112.38,15.05,15.05,15.05
D,3901530,132.07,155.56,155.56,155.56,15.10,15.10,15.10
D,3901608,391.14,506.33,506.33,506.33,22.75,22.75,22.75
D,3901610,342.84,462.31,462.31,462.31,25.84,25.84,25.84
D,3901612,0.00,506.34,506.34,506.34,100.00,100.00,100.00
D,3901614,0.00,462.20,462.20,462.20,100.00,100.00,100.00
D,3902004,773.18,991.67,991.67,991.67,22.03,22.03,22.03
D,3902004,421.22,991.67,991.67,991.67,57.52,57.52,57.52
D,3902012,1094.06,1733.02,1733.02,1733.02,36.87,36.87,36.87
D,3902012,582.18,1733.02,1733.02,1733.02,66.41,66.41,66.41
D,3902014,692.97,1005.40,1005.40,1005.40,31.08,31.08,31.08
D,3902015,587.07,1405.30,1405.30,1405.30,58.22,58.22,58.22
D,3902017,509.89,593.72,593.72,593.72,14.12,14.12,14.12
D,3902022,264.45,457.44,457.44,415.92,42.19,42.19,36.42
D,3902026,410.69,732.00,732.00,665.52,43.89,43.89,38.29
D,3902030,25.97,55.07,55.07,50.06,52.84,52.84,48.12
D,3902031,17.39,24.83,24.83,24.83,29.96,29.96,29.96
D,3902034,350.00,640.56,640.56,582.24,45.36,45.36,39.89
D,3902035,0.00,306.42,306.42,278.58,100.00,100.00,100.00
D,3902038,122.07,188.52,188.52,171.36,35.25,35.25,28.76
D,3902047,264.46,457.44,457.44,415.92,42.19,42.19,36.42
D,3902049,251.12,457.44,457.44,415.92,45.10,45.10,39.62
D,3902049,264.43,457.44,457.44,415.92,42.19,42.19,36.42
D,3902051,349.99,640.56,640.56,582.24,45.36,45.36,39.89
D,3902051,332.05,640.56,640.56,582.24,48.16,48.16,42.97
D,3902054,221.16,437.76,437.76,397.92,49.48,49.48,44.42
D,3902054,221.14,437.76,437.76,397.92,49.48,49.48,44.43
D,3902057,0.00,525.36,525.36,477.60,100.00,100.00,100.00
D,3902061,274.74,548.88,548.88,498.96,49.95,49.95,44.94
D,3902063,244.09,294.96,294.96,265.68,17.25,17.25,8.13
D,3902065,244.10,294.96,294.96,265.68,17.24,17.24,8.12
D,3902067,410.69,732.00,732.00,665.52,43.89,43.89,38.29
D,3902072,24.63,55.07,55.07,50.06,55.28,55.28,50.80
D,3902076,29.30,55.07,55.07,50.06,46.79,46.79,41.47
D,3902076,24.63,55.07,55.07,50.06,55.28,55.28,50.80
D,3902080,25.94,55.07,55.07,50.06,52.90,52.90,48.18
D,3902081,17.40,24.83,24.83,24.83,29.92,29.92,29.92
D,3902082,251.12,457.44,457.44,415.92,45.10,45.10,39.62
D,3902084,410.69,732.00,732.00,665.52,43.89,43.89,38.29
D,3902086,350.00,640.56,640.56,582.24,45.36,45.36,39.89
D,3902088,139.81,306.42,306.42,278.58,54.37,54.37,49.81
D,3902090,0.00,188.52,188.52,171.36,100.00,100.00,100.00
D,3902092,0.00,377.04,377.04,342.72,100.00,100.00,100.00
D,3902102,0.00,601.16,601.16,601.16,100.00,100.00,100.00
D,3902104,401.94,601.16,601.16,601.16,33.14,33.14,33.14
D,3902106,392.85,446.30,446.30,446.30,11.98,11.98,11.98
D,3902110,575.82,678.38,678.38,678.38,15.12,15.12,15.12
D,3902112,575.82,678.38,678.38,678.38,15.12,15.12,15.12
D,3902120,244.43,377.04,377.04,342.72,35.17,35.17,28.68
D,3902122,244.09,377.04,377.04,342.72,35.26,35.26,28.78
D,3902126,0.00,377.04,377.04,342.72,100.00,100.00,100.00
D,3902130,0.00,377.04,377.04,342.72,100.00,100.00,100.00
D,3902408,264.46,457.44,457.44,415.92,42.19,42.19,36.42
D,3902412,244.10,377.04,377.04,342.72,35.26,35.26,28.78
D,3902416,244.10,377.04,377.04,342.72,35.26,35.26,28.78
D,3902428,274.74,548.88,548.88,498.96,49.95,49.95,44.94
D,3902430,0.00,640.56,640.56,582.24,100.00,100.00,100.00
D,3902434,0.00,640.56,640.56,582.24,100.00,100.00,100.00
D,3902436,25.94,55.07,55.07,50.06,52.90,52.90,48.18
D,3902436,24.63,55.07,55.07,50.06,55.28,55.28,50.80
D,3902438,264.46,457.44,457.44,415.92,42.19,42.19,36.42
D,3902440,475.35,912.36,912.36,912.36,47.90,47.90,47.90
D,3902448,690.28,1588.86,1588.86,1588.86,56.56,56.56,56.56
D,3902802,244.09,377.04,377.04,342.72,35.26,35.26,28.78
D,3902804,264.48,457.44,457.44,415.92,42.18,42.18,36.41
D,3902808,350.00,640.56,640.56,582.24,45.36,45.36,39.89
D,3902810,25.95,55.07,55.07,50.06,52.88,52.88,48.16
D,3902812,205.36,366.00,366.00,332.76,43.89,43.89,38.29
D,3902814,198.34,343.08,343.08,311.94,42.19,42.19,36.42
D,3902816,274.73,548.88,548.88,498.96,49.95,49.95,44.94
D,3902816,260.85,548.88,548.88,498.96,52.48,52.48,47.72
D,3902818,229.16,525.36,525.36,477.60,56.38,56.38,52.02
D,3902818,229.18,525.36,525.36,477.60,56.38,56.38,52.01
D,3902820,244.09,377.04,377.04,342.72,35.26,35.26,28.78
D,3902821,279.62,612.84,612.84,557.16,54.37,54.37,49.81
D,3902822,221.16,437.76,437.76,397.92,49.48,49.48,44.42
D,3902826,264.48,457.44,457.44,415.92,42.18,42.18,36.41
D,3902836,832.16,1082.17,1082.17,1082.17,23.10,23.10,23.10
D,3902836,482.05,1082.17,1082.17,1082.17,55.46,55.46,55.46
D,3902844,1189.86,1808.51,1808.51,1808.51,34.21,34.21,34.21
D,3902848,648.03,1499.38,1499.38,1499.38,56.78,56.78,56.78
D,390321,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903210,0.00,603.72,603.72,601.92,100.00,100.00,100.00
D,3903212,204.92,353.16,353.16,321.00,41.98,41.98,36.16
D,3903214,127.04,176.64,176.64,160.56,28.08,28.08,20.88
D,3903216,233.47,318.84,318.84,259.32,26.78,26.78,9.97
D,3903218,116.67,163.32,163.32,148.56,28.56,28.56,21.47
D,3903220,0.00,510.50,510.50,464.10,100.00,100.00,100.00
D,3903222,380.12,487.96,487.96,487.96,22.10,22.10,22.10
D,3903224,380.12,459.20,459.20,459.20,17.22,17.22,17.22
D,390325,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903250,0.00,603.72,603.72,601.92,100.00,100.00,100.00
D,3903252,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903254,127.00,176.64,176.64,160.56,28.10,28.10,20.90
D,3903254,127.00,176.64,176.64,160.56,28.10,28.10,20.90
D,3903255,0.00,510.50,510.50,464.10,100.00,100.00,100.00
D,3903256,233.48,318.84,318.84,259.32,26.77,26.77,9.96
D,3903258,116.68,163.32,163.32,148.56,28.56,28.56,21.46
D,3903260,31.29,38.50,38.50,38.50,18.73,18.73,18.73
D,3903262,13.68,14.87,14.87,14.87,8.00,8.00,8.00
D,3903264,380.12,487.96,487.96,487.96,22.10,22.10,22.10
D,3903266,380.11,459.20,459.20,459.20,17.22,17.22,17.22
D,390327,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903271,489.79,603.72,603.72,601.92,18.87,18.87,18.63
D,3903272,204.90,353.16,353.16,321.00,41.98,41.98,36.17
D,3903274,127.06,176.64,176.64,160.56,28.07,28.07,20.86
D,3903276,233.50,318.84,318.84,259.32,26.77,26.77,9.96
D,3903277,116.48,163.32,163.32,148.56,28.68,28.68,21.59
D,390328,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903282,204.86,353.16,353.16,321.00,41.99,41.99,36.18
D,3903286,233.47,318.84,318.84,259.32,26.78,26.78,9.97
D,3903290,456.77,679.00,679.00,679.00,32.73,32.73,32.73
D,3903296,380.11,459.20,459.20,459.20,17.22,17.22,17.22
D,390333,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903332,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903337,0.00,603.72,603.72,601.92,100.00,100.00,100.00
D,3903338,204.88,353.16,353.16,321.00,41.99,41.99,36.17
D,390334,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903341,0.00,603.72,603.72,601.92,100.00,100.00,100.00
D,3903342,204.88,353.16,353.16,321.00,41.99,41.99,36.17
D,3903344,127.02,176.64,176.64,160.56,28.09,28.09,20.89
D,3903346,356.24,476.75,476.75,476.75,25.28,25.28,25.28
D,3903347,233.48,318.84,318.84,259.32,26.77,26.77,9.96
D,3903348,116.68,163.32,163.32,148.56,28.56,28.56,21.46
D,3903349,380.12,487.96,487.96,487.96,22.10,22.10,22.10
D,390335,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903352,204.88,353.16,353.16,321.00,41.99,41.99,36.17
D,3903354,233.48,318.84,318.84,259.32,26.77,26.77,9.96
D,3903359,380.12,476.75,476.75,476.75,20.27,20.27,20.27
D,390345,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903450,0.00,603.72,603.72,601.92,100.00,100.00,100.00
D,3903452,204.92,353.16,353.16,321.00,41.98,41.98,36.16
D,3903452,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903454,127.01,176.64,176.64,160.56,28.10,28.10,20.90
D,3903455,0.00,510.50,510.50,464.10,100.00,100.00,100.00
D,3903456,233.48,318.84,318.84,259.32,26.77,26.77,9.96
D,3903458,116.68,163.32,163.32,148.56,28.56,28.56,21.46
D,3903462,380.12,487.96,487.96,487.96,22.10,22.10,22.10
D,3903466,380.12,476.75,476.75,476.75,20.27,20.27,20.27
D,3903470,478.80,486.74,486.74,486.74,1.63,1.63,1.63
D,3903475,380.13,476.74,476.74,476.74,20.26,20.26,20.26
D,3903501,203.14,236.52,236.52,236.52,14.11,14.11,14.11
D,3903501,147.12,236.52,236.52,236.52,37.80,37.80,37.80
D,3903503,239.41,278.76,278.76,278.76,14.12,14.12,14.12
D,3903505,72.27,78.85,78.85,78.85,8.34,8.34,8.34
D,390361,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903610,0.00,489.90,489.90,468.20,100.00,100.00,100.00
D,3903612,204.81,353.16,353.16,321.00,42.01,42.01,36.20
D,3903614,127.00,176.64,176.64,160.56,28.10,28.10,20.90
D,390362,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903622,204.86,353.16,353.16,321.00,41.99,41.99,36.18
D,3903624,127.03,172.68,172.68,141.00,26.44,26.44,9.91
D,390363,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903630,0.00,545.61,545.61,545.61,100.00,100.00,100.00
D,3903632,204.92,353.16,353.16,321.00,41.98,41.98,36.16
D,3903633,233.49,326.76,326.76,297.00,28.54,28.54,21.38
D,3903634,127.06,176.64,176.64,160.56,28.07,28.07,20.86
D,3903636,204.88,353.16,353.16,321.00,41.99,41.99,36.17
D,3903638,127.04,176.64,176.64,160.56,28.08,28.08,20.88
D,390364,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903642,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903642,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903644,0.00,176.64,176.64,160.56,100.00,100.00,100.00
D,3903646,233.48,326.76,326.76,297.00,28.55,28.55,21.39
D,3903648,116.67,159.48,159.48,129.60,26.84,26.84,9.98
D,3903652,204.89,353.16,353.16,321.00,41.98,41.98,36.17
D,3903656,127.01,176.64,176.64,160.56,28.10,28.10,20.90
D,390366,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903662,204.88,315.36,315.36,230.40,35.03,35.03,11.08
D,390367,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903671,14.78,16.07,16.07,16.07,8.03,8.03,8.03
D,3903672,204.86,353.16,353.16,321.00,41.99,41.99,36.18
D,3903674,147.54,176.64,176.64,160.56,16.47,16.47,8.11
D,3903674,127.00,176.64,176.64,160.56,28.10,28.10,20.90
D,3903678,0.00,489.90,489.90,468.20,100.00,100.00,100.00
D,390369,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903694,31.28,38.50,38.50,38.50,18.75,18.75,18.75
D,3903699,31.27,38.50,38.50,38.50,18.78,18.78,18.78
D,390372,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903722,204.84,315.36,315.36,230.40,35.05,35.05,11.09
D,390374,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903740,204.86,353.16,353.16,321.00,41.99,41.99,36.18
D,3903741,471.78,489.90,489.90,468.20,3.70,3.70,-0.76
D,3903742,147.54,176.64,176.64,160.56,16.47,16.47,8.11
D,3903744,233.48,318.84,318.84,259.32,26.77,26.77,9.96
D,390375,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3903750,204.85,353.16,353.16,321.00,42.00,42.00,36.18
D,3903752,127.01,176.64,176.64,160.56,28.10,28.10,20.90
D,3903754,233.48,326.76,326.76,297.00,28.55,28.55,21.39
D,3903756,116.68,159.48,159.48,129.60,26.84,26.84,9.97
D,390421,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,3904214,204.89,315.36,315.36,230.40,35.03,35.03,11.07
D,3904224,204.89,315.36,315.36,230.40,35.03,35.03,11.07
D,3904226,233.12,301.00,301.00,301.00,22.55,22.55,22.55
D,3904228,350.56,454.05,454.05,454.05,22.79,22.79,22.79
D,390424,0.00,0.00,0.00,0.00,0.00,0.00,0.00
