sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,64005,40.57,40.57,40.57,34.44,34.45,17.76,17.76,17.76
C,64010,40.57,40.57,40.57,30.99,31.03,30.74,30.74,30.74
C,64015,40.57,40.57,40.57,31.01,31.01,30.83,30.83,30.83
C,80505,260,260,260,225,225,15.56,15.56,15.56
C,80510,435,435,435,367.5,367.5,18.37,18.37,18.37
C,80515,222.6,222.6,222.6,180,180,23.67,23.67,23.67
C,80520,369.6,369.6,369.6,310.5,310.52,19.03,19.03,19.03
C,100505,128.25,128.25,128.25,91.88,91.88,39.58,39.58,39.58
C,100510,128.25,128.25,128.25,81.3,81.4,57.56,57.56,57.56
C,110500,406.08,406.08,406.08,362.88,362.88,11.9,11.9,11.9
C,110510,417.36,417.36,417.36,241.92,241.92,72.52,72.52,72.52
C,110515,406.08,406.08,406.08,362.88,362.88,11.9,11.9,11.9
C,113005,205.13,205.13,205.13,77.97,77.99,163.02,163.02,163.02
C,113010,205.13,205.13,205.13,77.97,78.04,162.85,162.85,162.85
C,113015,205.13,205.13,205.13,82.08,82.08,149.91,149.91,149.91
C,113020,205.13,205.13,205.13,77.97,78,162.99,162.99,162.99
C,120500,270,270,270,202.68,202.68,33.21,33.21,33.21
C,120505,450,450,450,337.8,337.8,33.21,33.21,33.21
C,120510,270,270,270,202.68,202.68,33.21,33.21,33.21
C,120525,450,450,450,334.2,334.2,34.65,34.65,34.65
C,120550,220.8,220.8,220.8,156.12,156.12,41.43,41.43,41.43
C,120555,276,276,276,195.15,195.15,41.43,41.43,41.43
C,120560,220.8,220.8,220.8,156.12,156.12,41.43,41.43,41.43
C,120570,61.5,61.5,61.5,43.38,43.38,41.77,41.77,41.77
C,120575,142.5,142.5,142.5,100.08,100.08,42.39,42.39,42.39
C,120580,157,157,157,100.08,91.96,70.73,70.73,70.73
C,120590,184,184,184,129.48,129.48,42.11,42.11,42.11
C,130510,389.76,389.76,336,191.26,191.28,103.76,103.76,75.66
C,130515,528.96,528.96,456,221.22,221.22,139.11,139.11,106.13
C,130525,786.5,786.5,678,266.37,266.39,195.24,195.24,154.51
C,130530,1263.25,1263.25,1089,789.47,789.48,60.01,60.01,37.94
C,130545,528.96,528.96,456,216.94,217,143.76,143.76,110.14
C,130550,570.72,570.72,492,234.78,234.82,143.05,143.05,109.52
