sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
G,3901214,408.56,408.56,408.56,364.38,364.38,12.12,12.12,12.12
G,3901505,246.22,246.22,246.22,176.28,176.32,39.64,39.64,39.64
G,3901508,349.2,349.2,320.4,294.34,294.36,18.63,18.63,8.85
G,3901509,615.13,615.13,615.13,588.7,588.74,4.48,4.48,4.48
G,3901510,535,535,483,439.54,439.6,21.7,21.7,9.87
G,3901511,703.32,703.32,645.48,588.36,588.38,19.53,19.53,9.7
G,3901514,349.8,349.8,322.32,293.89,293.9,19.02,19.02,9.67
G,3901515,468.88,468.88,430.32,392.26,392.26,19.53,19.53,9.7
G,3901516,699.6,699.6,699.6,587.8,587.79,19.02,19.02,19.02
G,3901517,308,308,283.36,258.34,258.34,19.22,19.22,9.68
G,3901518,807.2,807.2,711.92,654.05,654.06,23.41,23.41,8.85
G,3901519,465.98,465.98,465.98,408.78,408.81,13.98,13.98,13.98
G,3901520,479.44,479.44,440,401.07,401.1,19.53,19.53,9.7
G,3901521,403.6,403.6,355.96,327.02,327.02,23.42,23.42,8.85
G,3901522,843.12,843.12,721.6,653.14,653.15,29.09,29.09,10.48
G,3901525,431.2,431.2,395.56,363.4,363.44,18.64,18.64,8.84
G,3901526,586.45,586.45,586.45,514.47,514.49,13.99,13.99,13.99
G,3901528,112.38,112.38,112.38,95.38,95.41,17.79,17.79,17.79
G,3901530,155.56,155.56,155.56,132.04,132.06,17.79,17.79,17.79
G,3901608,506.33,506.33,506.33,439.89,439.84,15.12,15.12,15.12
G,3901610,462.31,462.31,462.31,375.37,375.38,23.16,23.16,23.16
G,3902004,900.3,900.3,900.3,496.15,582.88,54.46,54.46,54.46
G,3902012,1273.9,1273.9,1273.9,864.12,864.12,47.42,47.42,47.42
G,3902014,806.9,806.9,806.9,586.66,586.67,37.54,37.54,37.54
G,3902015,922.25,922.25,922.25,587.05,587.06,57.1,57.1,57.1
G,3902017,593.7,593.7,593.7,431.13,431.14,37.7,37.7,37.7
G,3902022,319.44,319.44,290.4,264.46,264.8,20.63,20.63,9.67
G,3902026,519.36,519.36,452.88,410.68,410.69,26.46,26.46,10.27
G,3902030,33.1,33.1,28.62,25.93,25.95,27.55,27.55,10.29
G,3902031,24.83,24.83,24.83,17.38,17.38,42.87,42.87,42.87
G,3902034,502.56,502.56,390.72,349.99,350.04,43.57,43.57,11.62
G,3902035,169.8,169.8,153.6,139.79,139.82,21.44,21.44,9.86
G,3902038,147.48,147.48,132.84,122.04,122.08,20.81,20.81,8.81
G,3902047,319.44,319.44,290.4,264.44,264.45,20.79,20.79,9.81
G,3902049,319.44,319.44,290.4,251.1,251.24,27.15,27.15,15.59
G,3902051,502.56,502.56,390.72,349.99,350,43.59,43.59,11.63
G,3902052,502.56,502.56,390.72,350,349.36,43.85,43.85,11.84
G,3902054,281.04,281.04,243.93,221.15,209.95,33.86,33.86,16.18
G,3902057,294,294,265.2,241.32,241.32,21.83,21.83,9.9
G,3902061,335.04,335.04,301.92,274.72,274.74,21.95,21.95,9.89
G,3902063,294.96,294.96,265.68,244.08,244.09,20.84,20.84,8.85
G,3902065,294.96,294.96,265.68,244.08,244.11,20.83,20.83,8.84
G,3902067,519.36,519.36,452.88,410.68,410.69,26.46,26.46,10.27
G,3902072,33.1,33.1,28.62,25.93,25.97,27.45,27.45,10.2
G,3902076,33.1,33.1,28.62,25.93,25.95,27.55,27.55,10.29
G,3902080,33.1,33.1,28.62,25.93,25.97,27.45,27.45,10.2
G,3902081,24.83,24.83,24.83,17.38,17.59,41.16,41.16,41.16
G,3902082,319.44,319.44,290.4,251.11,251.12,27.21,27.21,15.64
G,3902084,519.36,519.36,452.88,410.68,410.72,26.45,26.45,10.26
G,3902086,502.56,502.56,390.72,349.99,349.99,43.59,43.59,11.64
G,3902088,169.8,169.8,153.6,132.73,132.75,27.91,27.91,15.71
G,3902090,147.48,147.48,132.84,122.04,122.06,20.83,20.83,8.83
G,3902104,596.75,596.75,596.75,401.92,401.94,48.47,48.47,48.47
G,3902110,678.38,678.38,678.38,575.81,575.82,17.81,17.81,17.81
G,3902112,678.38,678.38,678.38,575.81,575.82,17.81,17.81,17.81
G,3902120,294.96,294.96,265.68,244.08,244.1,20.84,20.84,8.84
G,3902408,319.44,319.44,290.4,264.44,264.45,20.79,20.79,9.81
G,3902412,294.96,294.96,265.68,244.08,244.09,20.84,20.84,8.85
G,3902416,294.96,294.96,265.68,244.08,244.1,20.84,20.84,8.84
G,3902428,335.04,335.04,301.92,260.84,260.84,28.45,28.45,15.75
G,3902434,502.56,502.56,390.72,349.99,350,43.59,43.59,11.63
G,3902436,33.1,33.1,28.62,25.93,25.95,27.55,27.55,10.29
G,3902438,319.44,319.44,290.4,264.44,264.46,20.79,20.79,9.81
G,3902440,691.85,691.85,691.85,445.81,445.83,55.18,55.18,55.18
G,3902448,1015.65,1015.65,1015.65,690.27,690.28,47.14,47.14,47.14
G,3902804,319.44,319.44,290.4,264.45,264.48,20.78,20.78,9.8
G,3902808,502.56,502.56,390.72,349.99,349.99,43.59,43.59,11.64
G,3902812,259.68,259.68,226.44,205.34,205.34,26.46,26.46,10.28
G,3902814,239.58,239.58,217.8,198.33,198.35,20.79,20.79,9.81
G,3902816,335.04,335.04,301.92,274.73,274.42,22.09,22.09,10.02
G,3902818,294,294,265.2,241.31,241.32,21.83,21.83,9.9
G,3902820,294.96,294.96,265.68,244.08,244.08,20.85,20.85,8.85
G,3902821,339.6,339.6,307.2,279.59,279.6,21.46,21.46,9.87
G,3902822,281.04,281.04,243.96,221.15,221.16,27.08,27.08,10.31
G,3902826,319.44,319.44,290.4,264.44,264.47,20.78,20.78,9.8
G,3902836,968.95,968.95,968.95,653.84,653.88,48.18,48.18,48.18
G,3902844,1385.45,1385.45,1385.45,943.94,840.88,64.76,64.76,64.76
G,3902848,1007.4,1007.4,1007.4,648.02,648.06,55.45,55.45,55.45
G,3903212,315.36,315.36,230.4,204.85,204.88,53.92,53.92,12.46
G,3903214,172.68,172.68,141,127,127,35.97,35.97,11.02
G,3903216,318.84,318.84,259.32,233.47,233.48,36.56,36.56,11.07
G,3903218,159.48,159.48,129.6,116.67,116.67,36.69,36.69,11.08
G,3903222,442.6,442.6,442.6,380.1,380.12,16.44,16.44,16.44
G,3903224,442.6,442.6,442.6,380.1,380.12,16.44,16.44,16.44
G,3903252,315.36,315.36,230.4,204.86,205.24,53.65,53.65,12.26
G,3903254,172.68,172.68,141,127,127,35.97,35.97,11.02
G,3903256,318.84,318.84,259.32,233.48,233.52,36.54,36.54,11.05
G,3903258,159.48,159.48,129.6,116.68,116.68,36.68,36.68,11.07
G,3903260,38.5,38.5,38.5,31.27,31.26,23.16,23.16,23.16
G,3903262,37.55,37.55,37.55,30.48,34.82,7.84,7.84,7.84
G,3903264,442.6,442.6,442.6,380.1,380.12,16.44,16.44,16.44
G,3903266,442.6,442.6,442.6,380.11,380.08,16.45,16.45,16.45
G,3903272,315.36,315.36,230.4,204.85,205,53.83,53.83,12.39
G,3903274,172.68,172.68,141,127,127,35.97,35.97,11.02
G,3903276,318.84,318.84,259.32,233.48,233.52,36.54,36.54,11.05
G,3903277,159.48,159.48,129.6,116.68,116.67,36.69,36.69,11.08
G,3903282,315.36,315.36,230.4,204.86,204.86,53.94,53.94,12.47
G,3903286,318.84,318.84,259.32,233.48,233.52,36.54,36.54,11.05
G,3903296,442.6,442.6,442.6,380.11,380.11,16.44,16.44,16.44
G,3903298,306.5,306.5,306.5,223.86,238.96,28.26,28.26,28.26
G,3903332,315.36,315.36,230.4,204.86,204.9,53.91,53.91,12.45
G,3903338,315.36,315.36,230.4,204.86,204.89,53.92,53.92,12.45
G,3903342,315.36,315.36,230.4,204.85,204.88,53.92,53.92,12.46
G,3903344,172.68,172.68,141,127,127,35.97,35.97,11.02
G,3903346,442.6,442.6,442.6,380.11,371.9,19.01,19.01,19.01
G,3903347,318.84,318.84,259.32,233.47,233.48,36.56,36.56,11.07
G,3903348,159.48,159.48,129.6,116.66,116.68,36.68,36.68,11.07
G,3903349,442.6,442.6,442.6,380.11,380.12,16.44,16.44,16.44
G,3903352,315.36,315.36,230.4,204.85,204.86,53.94,53.94,12.47
G,3903354,318.84,318.84,259.32,233.48,233.52,36.54,36.54,11.05
G,3903359,442.6,442.6,442.6,380.11,379.36,16.67,16.67,16.67
G,3903452,315.36,315.36,230.4,204.85,204.88,53.92,53.92,12.46
G,3903454,172.68,172.68,141,127,127,35.97,35.97,11.02
G,3903456,318.84,318.84,259.32,233.48,233.48,36.56,36.56,11.07
G,3903458,159.48,159.48,129.6,116.67,116.68,36.68,36.68,11.07
G,3903462,442.6,442.6,442.6,380.11,380.12,16.44,16.44,16.44
G,3903466,442.6,442.6,442.6,379.35,379.36,16.67,16.67,16.67
G,3903501,236.52,236.52,236.52,203.13,203.12,16.44,16.44,16.44
G,3903503,278.76,278.76,278.76,239.4,239.42,16.43,16.43,16.43
G,3903505,78.85,78.85,78.85,67.72,67.94,16.06,16.06,16.06
G,3903610,545.61,545.61,545.61,471.78,471.78,15.65,15.65,15.65
G,3903612,315.36,315.36,230.4,204.86,204.9,53.91,53.91,12.45
G,3903614,172.68,172.68,141,127,127.12,35.84,35.84,10.92
G,3903622,315.36,315.36,230.4,204.86,204.88,53.92,53.92,12.46
G,3903624,172.68,172.68,141,127,127.04,35.93,35.93,10.99
G,3903632,315.36,315.36,230.4,204.86,204.92,53.89,53.89,12.43
G,3903633,318.84,318.84,259.32,204.86,233.49,36.55,36.55,11.06
G,3903634,172.68,172.68,141,127,127.04,35.93,35.93,10.99
G,3903636,315.36,315.36,230.4,204.85,204.88,53.92,53.92,12.46
G,3903638,172.68,172.68,141,127,127.04,35.93,35.93,10.99
G,3903642,315.36,315.36,230.4,204.86,204.86,53.94,53.94,12.47
G,3903646,318.84,318.84,259.32,233.48,233.54,36.52,36.52,11.04
G,3903648,159.48,159.48,129.6,116.68,116.68,36.68,36.68,11.07
G,3903656,172.68,172.68,141,127.01,127,35.97,35.97,11.02
G,3903662,315.36,315.36,230.4,204.85,204.86,53.94,53.94,12.47
G,3903671,38.5,38.5,38.5,31.26,31.29,23.04,23.04,23.04
G,3903672,315.36,315.36,230.4,204.86,204.86,53.94,53.94,12.47
G,3903674,172.68,172.68,141,127,127.02,35.95,35.95,11.01
G,3903678,545.61,545.61,545.61,471.77,471.77,15.65,15.65,15.65
G,3903678,545.61,545.61,545.61,471.78,471.77,15.65,15.65,15.65
G,3903694,38.5,38.5,38.5,31.27,31.28,23.08,23.08,23.08
G,3903699,38.5,38.5,38.5,31.26,31.28,23.08,23.08,23.08
G,3903712,315.36,315.36,230.4,374.97,374.97,-15.9,-15.9,-38.56
G,3903722,315.36,315.36,230.4,204.85,204.86,53.94,53.94,12.47
G,3903740,315.36,315.36,230.4,204.85,204.85,53.95,53.95,12.47
G,3903741,545.61,545.61,545.61,471.81,471.81,15.64,15.64,15.64
G,3903742,172.68,172.68,141,127.16,127.24,35.71,35.71,10.81
G,3903744,318.84,318.84,259.32,233.47,233.48,36.56,36.56,11.07
G,3903750,315.36,315.36,230.4,204.86,204.87,53.93,53.93,12.46
G,3903756,159.48,159.48,129.6,116.67,116.67,36.69,36.69,11.08
G,3904214,300.85,300.85,230.4,204.85,204.86,46.86,46.86,12.47
G,3904224,315.36,315.36,230.4,204.88,166.8,89.06,89.06,38.13
G,3904226,301,301,301,244.22,244.24,23.24,23.24,23.24
G,3904228,454.05,454.05,454.05,350.55,350.08,29.7,29.7,29.7
G,3904242,155.69,155.69,155.69,126.49,126.48,23.09,23.09,23.09
G,3904244,315.36,315.36,230.4,204.86,204.88,53.92,53.92,12.46
G,3904246,301,301,301,244.34,244.36,23.18,23.18,23.18
G,3904252,454.05,454.05,454.05,350.55,350.56,29.52,29.52,29.52
G,3904264,315.36,315.36,230.4,204.88,204.89,53.92,53.92,12.45
G,3904284,315.36,315.36,230.4,204.88,204.9,53.91,53.91,12.45
G,3904286,301,301,301,233.25,233.26,29.04,29.04,29.04
G,3904480,237.72,237.72,193.2,173.93,173.94,36.67,36.67,11.07
G,3904481,239.16,239.16,194.4,175.01,175.02,36.65,36.65,11.07
G,3904482,453.8,453.8,453.8,271.64,271.64,67.06,67.06,67.06
G,3904484,237.72,237.72,193.2,173.92,173.93,36.68,36.68,11.08
G,3904485,239.16,239.16,194.4,175.01,175.02,36.65,36.65,11.07
G,3904486,453.8,453.8,453.8,271.64,356.04,27.46,27.46,27.46
G,3904487,453.8,453.8,453.8,297.44,297.48,52.55,52.55,52.55
G,3904495,453.8,453.8,453.8,352.55,352.56,28.72,28.72,28.72
G,3904496,237.72,237.72,193.2,173.93,173.94,36.67,36.67,11.07
G,3904497,239.16,239.16,194.4,175.01,175.02,36.65,36.65,11.07
G,3904498,237.72,237.72,193.2,173.86,173.88,36.71,36.71,11.11
G,3904499,239.16,239.16,194.4,175.01,175.02,36.65,36.65,11.07
G,3904506,237.72,237.72,193.2,173.94,173.92,36.68,36.68,11.09
G,3904508,239.16,239.16,194.4,175,175,36.66,36.66,11.09
G,3904804,91.46,91.46,91.46,73.07,73.2,24.95,24.95,24.95
G,3904806,91.46,91.46,91.46,73.07,73.08,25.15,25.15,25.15
G,3904808,91.46,91.46,91.46,73.06,73.1,25.12,25.12,25.12
G,3905213,62.76,62.76,52.92,47.15,47.22,32.91,32.91,12.07
G,3905214,62.76,62.76,52.92,48.62,48.62,29.08,29.08,8.84
G,3905219,62.76,62.76,52.92,48.13,48.16,30.32,30.32,9.88
G,3905289,62.76,62.76,52.92,48.13,48.14,30.37,30.37,9.93
G,3905615,62.76,62.76,52.92,48.13,48.15,30.34,30.34,9.91
G,3905622,62.76,62.76,52.92,48.61,48.69,28.9,28.9,8.69
G,3905625,62.76,62.76,52.92,48.12,48.15,30.34,30.34,9.91
G,3905634,62.76,62.76,52.92,48.62,48.69,28.9,28.9,8.69
G,3905641,62.76,62.76,52.92,48.13,48.15,30.34,30.34,9.91
G,3905659,62.76,62.76,52.92,48.09,48.11,30.45,30.45,10
G,3906818,152.88,152.88,109.68,97.31,97.34,57.06,57.06,12.68
G,3906824,152.88,152.88,109.68,97.31,97.32,57.09,57.09,12.7
G,3906826,152.88,152.88,109.68,97.47,97.33,57.07,57.07,12.69
G,3906834,217.53,217.53,217.53,191.13,191.13,13.81,13.81,13.81
G,3906842,109.1,109.1,109.1,97.32,97.32,12.1,12.1,12.1
G,3906862,160.44,160.44,144.6,131.57,131.58,21.93,21.93,9.9
G,3906864,160.44,160.44,144.6,131.58,131.58,21.93,21.93,9.9
G,3906872,160.44,160.44,144.6,131.38,131.38,22.12,22.12,10.06
G,3906882,313.1,313.1,313.1,265.76,265.8,17.8,17.8,17.8
G,3906884,313.1,313.1,313.1,265.76,265.76,17.81,17.81,17.81
G,3906886,313.1,313.1,313.1,265.76,265.78,17.8,17.8,17.8
G,3907212,314.16,314.16,295.68,268.6,268.64,16.94,16.94,10.07
G,3907214,270.05,270.05,270.05,242.71,242.72,11.26,11.26,11.26
G,3907216,183.14,183.14,183.14,163.36,163.4,12.08,12.08,12.08
G,3907222,314.16,314.16,295.68,268.6,268.61,16.96,16.96,10.08
G,3907224,270.05,270.05,270.05,242.71,1.42,18917.61,18917.61,18917.61
G,3907226,183.14,183.14,183.14,163.36,163.4,12.08,12.08,12.08
G,3907232,314.16,314.16,295.68,268.6,268.6,16.96,16.96,10.08
G,3907234,270.05,270.05,270.05,242.7,242.7,11.27,11.27,11.27
G,3907236,183.14,183.14,183.14,163.36,163.39,12.09,12.09,12.09
G,3907252,314.16,314.16,295.68,268.6,268.6,16.96,16.96,10.08
G,3907254,270.05,270.05,270.05,242.7,242.71,11.26,11.26,11.26
G,3907282,314.16,314.16,295.68,268.6,268.62,16.95,16.95,10.07
G,3907322,314.16,314.16,295.68,268.6,268.6,16.96,16.96,10.08
G,3907332,314.16,314.16,295.68,268.6,268.64,16.94,16.94,10.07
G,3907412,122.4,122.4,93.72,83.81,83.84,45.99,45.99,11.78
G,3907422,122.4,122.4,93.72,83.81,83.84,45.99,45.99,11.78
G,3907432,122.4,122.4,93.72,83.8,83.81,46.04,46.04,11.82
G,3910572,0.01,0.01,0.01,0.01,0.01,0,0,0
G,3930505,67,67,67,51.65,51.65,29.72,29.72,29.72
G,3960515,127.34,127.34,127.34,110.03,110.03,15.73,15.73,15.73
H,20505,260,260,260,242,242,7.44,7.44,7.44
H,20510,313.2,313.2,313.2,188,188,66.6,66.6,66.6
H,50515,753,753,753,639.84,639.84,17.69,17.69,17.69
H,50520,942,942,942,799.92,799.92,17.76,17.76,17.76
H,50525,933,933,933,792.48,792.48,17.73,17.73,17.73
H,51005,721,721,721,70,209.28,244.51,244.51,244.51
H,51010,843,843,843,310.5,311.78,170.38,170.38,170.38
H,51030,1161,1161,1161,162.24,162.24,615.61,615.61,615.61
H,51035,877,877,877,701.52,701.52,25.01,25.01,25.01
H,51040,353,353,353,124.8,124.8,182.85,182.85,182.85
H,51042,353,353,353,124.8,124.8,182.85,182.85,182.85
H,51045,181.44,181.44,181.44,146.88,146.88,23.53,23.53,23.53
H,51047,154,154,154,98.88,98.88,55.74,55.74,55.74
H,51050,179.14,179.14,179.14,85.63,85.63,109.2,109.2,109.2
H,51055,369,369,369,192,190.12,94.09,94.09,94.09
H,51060,1735,1735,1735,462.96,462.96,274.76,274.76,274.76
H,51065,1615,1615,1615,430.8,430.8,274.88,274.88,274.88
H,51070,1615,1615,1615,839.52,636.52,153.72,153.72,153.72
H,51072,1615,1615,1615,430.8,430.8,274.88,274.88,274.88
H,51075,1348,1348,1348,1078.08,1078.08,25.04,25.04,25.04
H,51080,1205,1205,1205,287.76,287.76,318.75,318.75,318.75
H,52025,691.5,691.5,691.5,359.47,360.08,92.04,92.04,92.04
H,52030,760,760,760,395.02,395.13,92.34,92.34,92.34
H,52505,691.5,691.5,691.5,552.96,552.96,25.05,25.05,25.05
H,52510,760,760,760,227.86,227.86,233.54,233.54,233.54
H,53005,234,234,234,164.16,164.16,42.54,42.54,42.54
H,53010,243,243,243,170.64,170.64,42.41,42.41,42.41
H,55005,753,753,753,639.84,639.84,17.69,17.69,17.69
H,55010,942,942,942,799.92,799.92,17.76,17.76,17.76
H,55015,933,933,933,792.48,792.48,17.73,17.73,17.73
H,55505,721,721,721,70.08,70.08,928.82,928.82,928.82
H,55510,843,843,843,716.4,716.4,17.67,17.67,17.67
H,56010,877,877,877,102.72,102.72,753.78,753.78,753.78
H,56015,369,369,369,90,90,310,310,310
H,56030,760,760,760,227.86,227.88,233.51,233.51,233.51
H,56035,691.5,691.5,691.5,552.96,552.96,25.05,25.05,25.05
H,56050,1348,1348,1348,389.04,389.04,246.49,246.49,246.49
H,56060,1735,1735,1735,1388.16,1388.16,24.99,24.99,24.99
H,56080,1205,1205,1205,279.12,279.12,331.71,331.71,331.71
H,60500,146.15,146.15,146.15,123.99,124.01,17.85,17.85,17.85
H,60502,605.32,605.32,605.32,451.32,451.33,34.12,34.12,34.12
H,60505,302.66,302.66,302.66,178.97,179.04,69.05,69.05,69.05
H,60511,535.01,535.01,535.01,317.74,317.78,68.36,68.36,68.36
H,60512,917.16,917.16,917.16,778.15,778.15,17.86,17.86,17.86
H,60516,614.5,614.5,614.5,521.36,521.48,17.84,17.84,17.84
H,61000,385.21,385.21,385.21,272.35,272.36,41.43,41.43,41.43
H,61001,770.42,770.42,770.42,653.64,653.68,17.86,17.86,17.86
H,61005,165.08,165.08,165.08,112.84,112.85,46.28,46.28,46.28
H,61020,89.31,89.31,89.31,75.76,75.77,17.87,17.87,17.87
H,61500,162.37,162.37,162.37,123.98,124.02,30.92,30.92,30.92
H,61502,788.75,788.75,788.75,669.19,669.2,17.86,17.86,17.86
H,61505,394.38,394.38,394.38,225.66,225.7,74.74,74.74,74.74
H,61510,458.58,458.58,458.58,388.57,388.58,18.01,18.01,18.01
H,61515,89.31,89.31,89.31,75.77,75.77,17.87,17.87,17.87
H,61522,171.95,171.95,171.95,145.9,145.93,17.83,17.83,17.83
H,61540,40.57,40.57,40.57,22.38,22.39,81.2,81.2,81.2
H,62000,394.38,394.38,394.38,249.01,249.03,58.37,58.37,58.37
H,62001,788.75,788.75,788.75,591.3,591.32,33.39,33.39,33.39
H,62005,162.37,162.37,162.37,137.76,137.76,17.86,17.86,17.86
H,62015,183.42,183.42,183.42,155.63,155.64,17.85,17.85,17.85
H,62020,89.31,89.31,89.31,75.77,75.77,17.87,17.87,17.87
H,62040,40.57,40.57,40.57,22.38,22.42,80.95,80.95,80.95
H,63015,183.42,183.42,183.42,155.62,155.65,17.84,17.84,17.84
H,63028,183.42,183.42,183.42,128.39,128.4,42.85,42.85,42.85
H,63030,183.42,183.42,183.42,155.62,155.66,17.83,17.83,17.83
H,63038,194.9,194.9,194.9,149.79,149.81,30.1,30.1,30.1
H,63039,504.43,504.43,504.43,319.04,319.08,58.09,58.09,58.09
H,63040,1008.87,1008.87,1008.87,778.14,778.16,29.65,29.65,29.65
H,63042,178.85,178.85,178.85,151.73,151.74,17.87,17.87,17.87
H,63048,178.85,178.85,178.85,151.73,151.74,17.87,17.87,17.87
H,63050,178.85,178.85,178.85,151.73,151.75,17.86,17.86,17.86
H,63051,1137.28,1137.28,1137.28,964.89,964.89,17.87,17.87,17.87
H,63052,215.53,215.53,215.53,182.86,182.86,17.87,17.87,17.87
H,63054,160.5,160.5,160.5,114.13,114.13,40.63,40.63,40.63
H,63056,40.57,40.57,40.57,25.83,25.86,56.88,56.88,56.88
H,63058,40.57,40.57,40.57,20.66,20.68,96.18,96.18,96.18
H,63076,130.68,130.68,130.68,95.32,95.35,37.05,37.05,37.05
H,63078,201.75,201.75,201.75,171.19,171.21,17.84,17.84,17.84
H,63080,201.75,201.75,201.75,155.62,155.64,29.63,29.63,29.63
H,63082,130.68,130.68,130.68,87.65,87.59,49.2,49.2,49.2
H,63090,40.57,40.57,40.57,34.44,34.46,17.73,17.73,17.73
H,63095,40.57,40.57,40.57,34.44,34.45,17.76,17.76,17.76
H,64000,40.57,40.57,40.57,31,34.45,17.76,17.76,17.76
H,64005,40.57,40.57,40.57,31,34.47,17.7,17.7,17.7
H,64010,40.57,40.57,40.57,34.44,34.47,17.7,17.7,17.7
H,64015,40.57,40.57,40.57,31,34.46,17.73,17.73,17.73
H,80505,260,260,260,218,218,19.27,19.27,19.27
H,80510,435,435,435,367.5,367.5,18.37,18.37,18.37
H,80515,222.6,222.6,222.6,180,180.01,23.66,23.66,23.66
H,80520,369.6,369.6,369.6,289.5,289.53,27.66,27.66,27.66
H,100505,128.25,128.25,128.25,81.3,81.72,56.94,56.94,56.94
H,100510,128.25,128.25,128.25,91.88,86.04,49.06,49.06,49.06
H,110500,406.08,406.08,406.08,362.88,362.88,11.9,11.9,11.9
H,110510,417.36,417.36,417.36,372.96,372.96,11.9,11.9,11.9
H,110515,406.08,406.08,406.08,362.88,362.88,11.9,11.9,11.9
H,113005,205.13,205.13,205.13,77.97,78.4,161.65,161.65,161.65
H,113010,205.13,205.13,205.13,182.8,182.8,12.22,12.22,12.22
H,113015,205.13,205.13,205.13,77.97,78.04,162.85,162.85,162.85
H,113020,205.13,205.13,205.13,77.97,78.04,162.85,162.85,162.85
H,113030,273,273,273,243.36,243.36,12.18,12.18,12.18
H,113050,398,398,398,331.8,331.8,19.95,19.95,19.95
H,120500,270,270,270,202.68,202.68,33.21,33.21,33.21
H,120505,450,450,450,337.8,337.8,33.21,33.21,33.21
H,120510,270,270,270,202.68,202.74,33.18,33.18,33.18
H,120525,450,450,450,334.2,334.2,34.65,34.65,34.65
H,120530,66,66,66,54,54,22.22,22.22,22.22
H,120531,26.2,26.2,26.2,22.38,23.51,11.44,11.44,11.44
H,120532,26.2,26.2,26.2,22.38,15.17,72.71,72.71,72.71
H,120533,26.2,26.2,26.2,22.38,22.57,16.08,16.08,16.08
H,120534,26.2,26.2,26.2,22.38,22.54,16.24,16.24,16.24
H,120535,26.2,26.2,26.2,22.38,22.38,17.07,17.07,17.07
H,120540,51,51,51,41,40.83,24.91,24.91,24.91
H,120544,35.31,35.31,35.31,29,29,21.76,21.76,21.76
H,120545,635.58,635.58,635.58,522,522,21.76,21.76,21.76
H,120550,220.8,220.8,220.8,156.12,156.12,41.43,41.43,41.43
H,120555,276,276,276,195.15,195.15,41.43,41.43,41.43
H,120560,220.8,220.8,220.8,156.12,156.12,41.43,41.43,41.43
H,120565,220.8,220.8,220.8,156.12,156.12,41.43,41.43,41.43
H,120575,142.5,142.5,142.5,100.08,100.08,42.39,42.39,42.39
H,120577,142.5,142.5,142.5,100.08,100.08,42.39,42.39,42.39
H,120580,157,157,157,114,114,37.72,37.72,37.72
H,120585,184,184,184,129.48,129.48,42.11,42.11,42.11
H,120590,184,184,184,129.48,129.48,42.11,42.11,42.11
H,130510,389.76,389.76,336,191.26,191.28,103.76,103.76,75.66
H,130515,528.96,528.96,456,267.9,267.92,97.43,97.43,70.2
H,130520,835.2,835.2,720,322.27,322.27,159.16,159.16,123.42
H,130525,786.5,786.5,678,266.37,266.44,195.19,195.19,154.47
H,130530,1263.25,1263.25,1089,789.47,789.6,59.99,59.99,37.92
H,130535,1767.85,1767.85,1524,410.47,410.48,330.68,330.68,271.27
H,130545,528.96,528.96,456,206.19,206.24,156.48,156.48,121.1
H,130550,570.72,570.72,492,234.79,234.79,143.08,143.08,109.55
H,131010,452.4,452.4,390,282.55,282.56,60.11,60.11,38.02
H,131015,636.85,636.85,549,200.1,200.12,218.23,218.23,174.34
H,131020,452.4,452.4,390,282.55,282.56,60.11,60.11,38.02
H,131025,636.85,636.85,549,391.73,391.8,62.54,62.54,40.12
H,131030,452.4,452.4,390,296.05,296.06,52.81,52.81,31.73
H,131035,636.85,636.85,549,332.41,332.51,91.53,91.53,65.11
H,131040,452.4,452.4,390,337.6,337.6,34,34,15.52
H,131045,636.85,636.85,549,183.12,183.15,247.72,247.72,199.75
H,131050,452.4,452.4,390,296.05,296.1,52.79,52.79,31.71
H,131055,636.85,636.85,549,415.51,415.84,53.15,53.15,32.02
H,131060,452.4,452.4,390,282.55,282.56,60.11,60.11,38.02
H,131065,636.85,636.85,549,392.13,392.2,62.38,62.38,39.98
H,131070,452.4,452.4,390,125.48,125.52,260.42,260.42,210.71
H,131075,636.85,636.85,549,139.18,139.2,357.51,357.51,294.4
H,131077,417.6,417.6,360,247.47,247.47,68.75,68.75,45.47
H,131080,334.08,334.08,288,211.92,211.92,57.64,57.64,35.9
H,131085,469.8,469.8,405,295.02,295.28,59.1,59.1,37.16
H,131090,382.8,382.8,330,140.12,140.13,173.17,173.17,135.5
H,131095,267.96,267.96,231,140.24,140.25,91.06,91.06,64.71
H,131100,382.8,382.8,330,140.4,140.04,173.35,173.35,135.65
H,131105,267.96,267.96,231,165.17,164.72,62.68,62.68,40.24
H,131115,382.8,382.8,330,202.56,192.83,98.52,98.52,71.14
H,131120,267.96,267.96,231,165.17,156.86,70.83,70.83,47.27
H,131125,382.8,382.8,330,140.4,140.44,172.57,172.57,134.98
H,131130,267.96,267.96,231,74.93,74.94,257.57,257.57,208.25
H,131135,382.8,382.8,330,176.59,176.6,116.76,116.76,86.86
H,131140,267.96,267.96,231,165.17,156.64,71.07,71.07,47.47
H,131145,382.8,382.8,330,176.59,176.6,116.76,116.76,86.86
H,131150,267.96,267.96,231,199.96,199.96,34.01,34.01,15.52
H,131500,219.25,219.25,189,145.43,145.46,50.73,50.73,29.93
H,131505,382.8,382.8,330,249.3,249.33,53.53,53.53,32.35
H,131510,431.52,431.52,372,218.14,216.68,99.15,99.15,71.68
H,131527,306.25,306.25,264,77.04,77.05,297.47,297.47,242.63
H,131530,556.8,556.8,480,184.48,184.52,201.76,201.76,160.13
